Unnamed: 0_level_0,rTLE (n = 45),HCs (n = 41),Unnamed: 3_level_0,Two-way ANOVA,Two-way ANOVA,Two-way ANOVA
Unnamed: 0_level_1,Mean (SD),Mean (SD),Unnamed: 3_level_1,F,p,η2
Reaction time (ms),,,Group,46.29,<0.001,0.221
0back,442.45 (68.23),379.19 (42.56),Nback,131.88,<0.001,0.453
2back,613.66 (101.48),505.59 (89.05),Group × Nback,2.53,0.11,0.025
Hit rate (%),,,Group,32.77,<0.001,0.176
0back,99.77 (0.86),99.57 (1.12),Nback,53.98,<0.001,0.252
2back,83.32 (13.83),96.75 (5.32),Group × Nback,26.54,<0.001,0.142
False alarm rate (%),,,Group,4.65,0.03,0.028
0back,2.48 (15.23),0.13 (0.45),Nback,1.29,0.26,0.008
2back,3.87 (4.45),1.45 (1.58),Group × Nback,0.02,0.89,0.0
