Unnamed: 0,bvFTD,HC,bvFTD vs HC
% Women,35%,62.5%,\documentclass[12pt]{minimal}  \usepackage{amsmath}  \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy}  \usepackage{mathrsfs}  \usepackage{upgreek}  \setlength{\oddsidemargin}{-69pt}  \begin{document}$${\chi }^{2}$$\end{document}χ2= 1.71; P = 0.19
Age,65.8 (8.8),62.9 (7.6),T = 1.07; P = 0.29
Years since 1st symptoms,4.4 (2.3),–,–
Education level,6.4 (2.0),7.3 (1.1),W = 111; P = 0.34
MMSE (/30),24.1 (2.8),29.4 (0.8),W = 8; P < 0.001
DRS (/144),119.5 (9.3),142.3 (1.3),W = 0; P < 0.001
FAB (/18),12.5 (3.4),17.3 (0.9),W = 6; P < 0.001
SAS (/42),15.4 (4.8),6.3 (2.8),T = 7.13; P < 0.001
DAS (/72),30.4 (10.5),19.6 (8.6),T = 3.40; P < 0.01
DAS-Emotional (/24),10.9 (3.9),8.3 (3.4),T = 2.15; P < 0.05
DAS-Initiation (/24),9.9 (5.9),7.0 (4.0),T = 1.73; P = 0.09
DAS-Executive (/24),9.7 (5.0),4.3 (3.7),W = 256; P < 0.01
