Label,Anatomical,Label.1,Anatomical.1,Label.2,Anatomical.2
1.0,L. Amygdala,31.0,R. Sup. Frontal Med.,61.0,L. Sup. Parietal Gyrus
2.0,R. Amygdala,32.0,L. Sup. Frontal Orbital,62.0,R. Sup. Parietal Gyrus
3.0,L. Angular Gyrus,33.0,R. Sup. Frontal Orbital,63.0,L. Postcentral Gyrus
4.0,R. Angular Gyrus,34.0,R. Superior Frontal,64.0,R. Postcentral Gyrus
5.0,L. Calcarine Fissure,35.0,L. Fusiform Gyrus,65.0,L. Precentral Gyrus
6.0,R. Calcarine Fissure,36.0,R. Fusiform Gyrus,66.0,R. Precentral Gyrus
7.0,L. Caudate Nucleus,37.0,L. Heschl Gyrus,67.0,L. Precuneus
8.0,R. Caudate Nucleus,38.0,R. Heschl Gyrus,68.0,R. Precuneus
9.0,L. Ant. Cingulate Cort.,39.0,L. Hippocampus,69.0,L. Putamen
10.0,R. Ant. Cingulate Cort.,40.0,R. Hippocampus,70.0,R. Putamen
11.0,L. Mid. Cingulate Cort.,41.0,L. Insula,71.0,L. Rectus gyrus
12.0,R. Mid. Cingulate Cort.,42.0,R. Insula,72.0,R. Rectus gyrus
13.0,L. Pos. Cingulate Cort.,43.0,L. Lingual Gyrus,73.0,L. Rolandic Operculum
14.0,R. Pos. Cingulate Cort.,44.0,R. Lingual Gyrus,74.0,R. Rolandic Operculum
15.0,L. Cuneus,45.0,L. Inf. Occipital Gyrus,75.0,L. Supplementary Motor Area
16.0,R. Cuneus,46.0,R. Inf. Occipital Gyrus,76.0,R. Supplementary Motor Area
17.0,L. Inf. Frontal Oper.,47.0,L. Mid. Occipital Gyrus,77.0,L. Supramarginal Gyrus
18.0,R. Inf. Frontal Oper.,48.0,R. Mid. Occipital Gyrus,78.0,R. Supramarginal Gyrus
19.0,L. Inf. Frontal Orbital,49.0,L. Sup. Occipital Gyrus,79.0,L. Inf. Temporal Gyrus
20.0,R. Inf. Frontal Orbital,50.0,R. Sup. Occipital Gyrus,80.0,R. Inf. Temporal Gyrus
21.0,L. Inf. Frontal Triang.,51.0,L. Olfactory Cortex,81.0,L. Mid. Temporal Gyrus
22.0,R. Inf. Frontal Triang.,52.0,R. Olfactory Cortex,82.0,R. Mid. Temporal Gyrus
23.0,L. Med. Frontal Orbital,53.0,L. Pallidum,83.0,L. Mid. Temporal Pole Gyrus
24.0,R. Med. Frontal Orbital,54.0,R. Pallidum,84.0,R. Mid. Temporal Pole Gyrus
25.0,L. Frontal Middle,55.0,L. Paracentral Lobule,85.0,L. Sup. Temporal Pole Gyrus
26.0,L. Frontal Mid. Orbital,56.0,R. Paracentral Lobule,86.0,R. Sup. Temporal Pole Gyrus
27.0,R. Mid Frontal Orbital,57.0,L. Parahippocampal,87.0,L. Sup. Temporal Gyrus
28.0,R. Middle Frontal,58.0,R. Parahippocampal,88.0,R. Sup. Temporal Gyrus
29.0,L. Superior Frontal,59.0,L. Inf. Parietal Gyrus,89.0,L. Thalamus
30.0,L. Frontal Sup. Med.,60.0,R. Inf. Parietal Gyrus,90.0,R. Thalamus
,,,,,
