ROI Number,Brain Region,ROI Number.1,Brain Region.1
1,Precentral_L,46,Cuneus_R
2,Precentral_R,47,Lingual_L
3,Frontal_Sup_L,48,Lingual_R
4,Frontal_Sup_R,49,Occipital_Sup_L
5,Frontal_Sup_Orb_L,50,Occipital_Sup_R
6,Frontal_Sup_Orb_R,51,Occipital_Mid_L
7,Frontal_Mid_L,52,Occipital_Mid_R
8,Frontal_Mid_R,53,Occipital_Inf_L
9,Frontal_Mid_Orb_L,54,Occipital_Inf_R
10,Frontal_Mid_Orb_R,55,Fusiform_L
11,Frontal_Inf_Oper_L,56,Fusiform_R
12,Frontal_Inf_Oper_R,57,Postcentral_L
13,Frontal_Inf_Tri_L,58,Postcentral_R
14,Frontal_Inf_Tri_R,59,Parietal_Sup_L
15,Frontal_Inf_Orb_L,60,Parietal_Sup_R
16,Frontal_Inf_Orb_R,61,Parietal_Inf_L
17,Rolandic_Oper_L,62,Parietal_Inf_R
18,Rolandic_Oper_R,63,SupraMarginal_L
19,Supp_Motor_Area_L,64,SupraMarginal_R
20,Supp_Motor_Area_R,65,Angular_L
21,Olfactory_L,66,Angular_R
22,Olfactory_R,67,Precuneus_L
23,Frontal_Sup_Medial_L,68,Precuneus_R
24,Frontal_Sup_Medial_R,69,Paracentral_Lobule_L
25,Frontal_Med_Orb_L,70,Paracentral_Lobule_R
26,Frontal_Med_Orb_R,71,Caudate_L
27,Rectus_L,72,Caudate_R
28,Rectus_R,73,Putamen_L
29,Insula_L,74,Putamen_R
30,Insula_R,75,Pallidum_L
31,Cingulum_Ant_L,76,Pallidum_R
32,Cingulum_Ant_R,77,Thalamus_L
33,Cingulum_Mid_L,78,Thalamus_R
34,Cingulum_Mid_R,79,Heschl_L
35,Cingulum_Post_L,80,Heschl_R
36,Cingulum_Post_R,81,Temporal_Sup_L
37,Hippocampus_L,82,Temporal_Sup_R
38,Hippocampus_R,83,Temporal_Pole_Sup_L
39,ParaHippocampal_L,84,Temporal_Pole_Sup_R
40,ParaHippocampal_R,85,Temporal_Mid_L
41,Amygdala_L,86,Temporal_Mid_R
42,Amygdala_R,87,Temporal_Pole_Mid_L
43,Calcarine_L,88,Temporal_Pole_Mid_R
44,Calcarine_R,89,Temporal_Inf_L
45,Cuneus_L,90,Temporal_Inf_R
