Unnamed: 0_level_0,Cluster‐level,Unnamed: 2_level_0,Peak‐level,Unnamed: 4_level_0,Unnamed: 5_level_0,Overlapping clusters
Unnamed: 0_level_1,pFWE‐corr,kE,pFWE‐corr,t,"MNI (mm; x, y, z)",Overlapping clusters
15 vols,,,,,,
Left,0.013,31.0,0.004,5.37,"−44, 46, 24",aaa
,,,0.376,4.2,"−38, 48, 30",
,0.017,29.0,0.504,4.07,"−24, 22, −20",
,,,0.945,3.58,"−28, 30, 22",
Right,0.004,43.0,0.013,5.12,"26, 64, 2",bb
,,,0.767,3.81,"22, 54, −2",
,,,0.965,3.51,"28, 52, 6",
,0.001,56.0,0.059,4.74,"10, 50, 8",
,,,0.246,4.15,"8, 48, 20",
,,,0.744,3.83,"4, 42, 14",
20 vols,,,,,,
Left,0.015,30.0,0.093,4.63,"−38, 46, 30",aaa
,,,0.107,4.59,"−44, 46, 22",
Right,0.004,41.0,0.024,5.02,"26, 64, 2",bb
,,,0.741,3.84,"24, 52, −2",
30 vols,,,,,,
Left,0.004,37.0,0.029,4.91,"−44, 36, −18",cc
,,,0.837,3.77,"−42, 46, −14",
,,,0.996,3.25,"−50, 36, −10",
45 vols,,,,,,
Left,0.005,32.0,0.142,4.52,"−46, 34, −16",cc
,,,0.498,4.14,"−44, 48, −16",
,0.022,23.0,0.251,4.37,"−38, 48, 28",aaa
,0.013,26.0,0.294,4.33,"−36, 28, 46",
