Characteristic,Healthy controlsn = 40,OCDn = 45,OCDn = 45
Characteristic,Healthy controlsn = 40,Unnamed: 2_level_1,Unnamed: 3_level_1
Characteristic,Healthy controlsn = 40,Pre-CBT,Post-CBT
"Age, yr",28.9 ± 6.4,28.7 ± 6.7,28.7 ± 6.7
"Female/male, n",18/22,20/25,20/25
"Education, yr",13.8 ± 2.8,13.7 ± 2.9,13.7 ± 2.9
"Illness duration, yr",–,7.3 ± 6.5,7.3 ± 6.5
HAM-D score,–,6.7 ± 4.2,5.8 ± 5.2
Y-BOCS total score,–,23.6 ± 5.9,10.3 ± 5.6
Y-BOCS obsession subscale score,–,12.2 ± 4.8,5.1 ± 3.2
Y-BOCS compulsion subscale score,–,11.4 ± 3.8,5.2 ± 3.4
