References,Autism,Autism,Autism,Autism,Autism,Control,Control,Control,Control,Control,Method,Conclusion,Conclusion,Conclusion,Conclusion
Unnamed: 0_level_1,N (F),Age,VIQ,PIQ,FIQ,N (F),Age,VIQ,PIQ,FIQ,Unnamed: 11_level_1,FA,MD,RD,AD
Alexander et al. (???),43 (0),16.23 (6.70),/,107.49 (13.04),/,34 (0),16.44 (5.97),/,112.79 (12.08),/,ROI,↓,↑,↑,N.S.
Ameis et al. (???),71 (15),11.40 (3.40),/,/,95.0 (19.7),62 (25),10.80 (2.80),/,/,112.5 (17.1),TBSS,↓,N.S.,N.S.,N.S.
Aoki et al. (???),567 (81),14.23 (/),/,/,106.42 (/),482 (116),15.47 (/),/,/,111.94 (/),Meta,↓,↑,/,/
Aoki et al. (???),69 (7),8.90 (1.70),108 (16),110 (19),109 (17),50 (12),9.40 (1.50),114 (15),114 (14),114 (13),TBSS,↓,↑,↑,↑
Barnea-Goraly et al. (???),7 (0),14.60 (3.40),84 (17),121.5 (8),101 (12.2),9 (0),13.40 (2.80),105.2 (11.4),107 (10),107 (8.5),Voxel based whole brain,↓,/,/,/
Barnea-Goraly et al. (???),13 (2),10.50 (2.00),/,/,85.9 (17.4),11 (2),9.60 (2.10),/,/,119.9 (13.3),TBSS,↓,/,N.S.,↓
Bashat et al. (???),17 (/),1.8–3.3,/,/,/,41 (18),0.25–23,/,/,/,ROI,↑,/,/,/
Brito et al. (???),8 (0),9.53 (1.83),/,/,/,8 (0),9.57 (1.36),/,/,/,ROI,↓,/,/,/
Di et al. (???),297 (28),22.40 (/),/,/,107.87 (/),302 (30),22.2 (/),/,/,112.50 (/),Meta,↓,/,/,/
Groen et al. (???),17 (3),14.40 (1.60),97 (19),100 (15),98 (18),25 (3),15.50 (1.80),105 (10),105 (11),105 (9),Voxel based whole brain,↓,↑,/,/
Hong et al. (???),18 (0),8.69 (2.18),/,/,105.22 (21.12),16 (0),9.81 (1.91),/,/,106.13 (20.13),ROI,N.S.,/,/,/
Keller et al. (???),34 (0),18.90 (7.30),/,/,102.0 (14.8),31 (0),18.90 (6.20),/,/,109.5 (9.0),Voxel based whole brain,↓,/,/,/
Kumar et al. (???),32 (3),5.00 (/),/,/,/,16 (4),5.50 (/),/,/,/,TBSS,↓,/,/,/
Nickel et al. (???),30 (11),35.40 (9.07),/,/,124.5 (12.26),30 (11),35.53 (8.30),/,/,123.63 (13.80),Voxel based whole brain,↓,N.S.,/,/
Noriuchi et al. (???),7 (1),13.96 (2.68),93.7 (7.41),93.14 (8.07),92.71 (6.68),7 (1),13.36 (2.74),/,/,116.43 (9.50),Voxel based whole brain,↓,/,/,/
Shukla et al. (???),26 (2),12.70 (0.60),105.6 (3.6),109.5 (3.3),/,24 (1),13.00 (0.60),108.2 (2.6),110.3 (2.5),/,ROI,↓,↑,↑,N.S
Shukla et al. (???),26 (1),12.80 (0.60),104.3 (3.4),108.8 (3.3),/,24 (1),13.00 (0.60),108.2 (2.6),110.3 (2.5),/,TBSS,↓,↑,↑,N.S.
Thomas et al. (???),12 (0),28.50 (9.70),105.08 (10.09),107.25 (13.9),106.92 (10.47),18(0),22.40 (4.10),109.8 (12.54),111 (10.03),111.6 (9.91),ROI,N.S.,/,/,/
Travers et al. (???),100 (0),18.30 (8.50),96.3 (21.1),102.6 (17.9),100.1 (17.6),56 (0),18.90 (7.80),114.7 (13.2),116.3 (14.8),118.2 (13.2),ROI,↓,↑,↑,↑
Vogan et al. (???),61 (10),10.90 (2.00),/,/,102.2 (14.9),69 (18),11.10 (2.40),/,/,112.7 (11.6),TBSS,↓,N.S.,N.S.,↓
Walker et al. (???),39 (11),4.63 (1.76),/,/,/,39 (13),4.74 (1.76),/,/,/,TBSS,↓,↑,↑,↑
Weinstein et al. (???),22 (/),3.20 (1.10),/,/,/,32 (/),3.40 (1.30),/,/,/,TBSS,↑,N.S.,↓,N.S.
