References,Autism,Autism,Autism,Autism,Autism,Control,Control,Control,Control,Control,Method,Conclusion
Unnamed: 0_level_1,N (F),Age,VIQ,PIQ,FIQ,N (F),Age,VIQ,PIQ,FIQ,Unnamed: 11_level_1,Unnamed: 12_level_1
Anderson et al. (???),53 (0),22.40 (7.20),101.30 (21.10),101.30 (16.50),/,39 (0),21.10 (6.50),116.00 (14.80),114.20 (13.90),/,SBM,↓
Chung et al. (???),16 (0),16.10 (4.50),/,/,/,12 (0),17.10 (2.80),/,/,/,VBM,↓
Egaas et al. (???),51 (6),15.50 (10.0),<70:16;≥70:31,/,/,51 (6),15.50 (9.90),/,/,/,TMA,↓
Elia et al. (???),22 (0),10.92 (4.02),/,/,/,11 (0),10.86 (2.85),/,/,/,TMA,N.S.
Frizer et al. (???),253 (27),14.58 (6.00),/,/,/,250 (53),14.41 (5.31),/,/,/,Meta,↓
Gaffney et al. (???),13 (3),11.30 (4.70),/,/,84.9 (26.7),35 (14),12.00 (5.20),/,/,/,TMA,N.S.
Haar et al. (???),295 (0),16.89 (8.10),/,/,106.16 (17.16),295 (0),16.72 (7.55),/,/,111.21 (12.15),SBM,↓
Hardan et al. (???),22 (0),22.40 (10.10),103.00 (16.40),97.50 (12.60),100.40 (14.70),22 (0),22.40 (10.00),100.50 (14.70),99.60 (12.50),100.50 (14.20),TMA,↓
Lefebvre et al. (???),328 (38),16.60 (8–39),103.00 (18.00),106.00 (17.00),105.00 (17.00),366 (62),17.00 (8–40),111.00 (13.00),107.00 (13.00),111.00 (12.00),SBM,N.S.
Li et al. (???),409 (47),17.42 (8.56),105.20 (18.10),106.27 (16.81),106.72 (16.65),455 (72),17.35 (7.76),111.48 (13.53),108.17 (13.46),111.45 (12.55),VBM,↓
Manes et al. (???),27 (5),14.35 (6.80),/,/,/,17 (6),11.85 (5.00),/,/,/,TMA,↓
Piven et al. (???),35 (9),18.00 (4.50),/,91.00 (19.80),/,36 (16),20.20 (3.80),/,102.10 (12.80),/,TMA,↓
Rice et al. (???),12 (0),12.42 (4.32),106.00 (33.01),107.83 (17.66),107.33 (26.06),8 (0),12.50 (3.46),123.25 (10.90),120.38 (10.08),124.00 (11.28),TMA,N.S.
Sui et al. (???),16 (0),21.38 (2.39),/,/,108.88 (17.39),17 (0),21.71 (2.14),/,/,116.65 (11.98),DKI,↓
Vidal et al. (???),24 (0),10.00 (3.30),92.90 (13.30),99.10 (14.00),95.90 (11.50),26 (0),11.00 (2.50),105.40 (11.20),104.10 (14.00),104.80 (11.70),TMA,↓
Waiter et al. (???),15 (0),15.20 (2.20),100.60 (24.20),99.40 (19.50),100.50 (22.40),16 (0),15.50 (1.60),101.30 (21.10),98.80 (13.90),99.70 (18.30),VBM,↓
Wolff et al. (???),57 (10),6.60 (0.7),/,/,79.80 (17.60),108 (42),6.70 (0.7),/,/,110.90 (16.00),Fourier contour model,↑
,,12.90 (0.8),/,/,,,12.70 (0.7),/,/,,,↑
,,24.80 (1.2),/,/,,,24.70 (0.8),/,/,,,N.S.
Yao et al. (???),146 (25),8.48 (1.07),107.80 (19.37),107.27 (20.15),106.03 (19.40),175 (47),8.62 (0.84),115.09 (15.89),109.35 (15.40),114.43 (13.40),VBM,N.S.
