ROI,ANOVA results,AVH vs NAVH,Brain areas(L/R),Cluster size (voxels),Peak coordinates (MNI),T-value
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,x y z,Unnamed: 6_level_1
AAC_L,Cluster1,/,"calcarine gyrus (L/R), cuneus gyrus (L/R), lingual gyrus (L/R), superior occipital gyrus (L/R), precuneus gyrus (L/R), posterior cingulate gyrus",1244,27–78 24,19.67
,Cluster2,+,middle temporal gyrus (R) and middle occipital gyrus (R),118,42–72 3,12.15
AAC_R,Cluster1,/,"calcarine gyrus(L/R), posterior cingulate gyrus, cuneus gyrus (L/R), lingual gyrus (L/R), superior occipital gyrus (L/R), precuneus gyrus (L/R)",1077,−9–66 12,18.42
HES_L,Cluster1,–,"superior occipital gyrus (L), cuneus gyrus (L), precuneus gyrus (L)",130,−21 42–21,10.81
,Cluster2,/,anterior orbitofrontal gyrus (L),155,−15–84 30,10.22
HES_R,Cluster1,/,calcarine gyrus (L),36,−18–66 12,8.87
,Cluster2,–,posterior cingulate gyrus,58,−3–30 30,10.43
MGN_L,Cluster1,–,"calcarine gyrus (L/R), cuneus gyrus (L/R), lingual gyrus (L/R)",434,15–78 27,12.49
MGN_R,Cluster1,/,"calcarine gyrus (L/R), cuneus gyrus(L/R), lingual gyrus (L/R)",191,−12–60 3,11.63
,Cluster2,/,precentral gyrus (L) and postcentral gyrus (L),50,−36–15 63,8.7
