Unnamed: 0_level_0,Unnamed: 1_level_0,Torture survivor (TS) group (N = 37),Torture survivor (TS) group (N = 37),Non-torture survivor (NTS) group (N = 62),Non-torture survivor (NTS) group (N = 62),Group difference p value
Unnamed: 0_level_1,Unnamed: 1_level_1,N / mean,% / SD,N / mean,% / SD,Group difference p value
Age (years),Age (years),42.11,11.82,35.11,10.37,p = 0.003*
Sex,Male,32.0,86.5%,32.0,51.6%,p < 0.001*
,Female,5.0,13.5%,30.0,48.4%,
Marital status,Married,24.0,64.9%,30.0,48.4%,p = 0.007
,Widow/widower,4.0,10.8%,0.0,0%,p = 0.007
,Divorced/separated,1.0,2.7%,5.0,8.1%,p = 0.007
,Single/never married,8.0,21.6%,27.0,43.5%,p = 0.007
Education,No education,2.0,5.6%,2.0,3.2%,p = 0.851
,Completed primary school,8.0,22.2%,13.0,21.0%,p = 0.851
,Completed high school,9.0,25.0%,20.0,32.3%,p = 0.851
,Completed tertiary or vocational training,17.0,47.2%,27.0,43.5%,p = 0.851
Employment,Employed (Full or part-time),8.0,21.6%,10.0,16.1%,p = 0.445
,Studying,5.0,13.5%,15.0,24.2%,p = 0.445
,Unemployed,5.0,13.5%,7.0,11.3%,p = 0.445
,Unable to work,17.0,45.9%,22.0,35.5%,p = 0.445
,Home duties or retired,2.0,5.4%,8.0,12.9%,p = 0.445
Country-of-origin,Iran,14.0,37.8%,25.0,40.3%,p = 0.223
,Iraq,4.0,10.8%,16.0,25.8%,p = 0.223
,Sri Lanka,2.0,5.4%,2.0,3.2%,p = 0.223
,Other#,17.0,45.9%,20.0,30.6%,p = 0.223
Visa status,Secure visa,17.0,45.9%,35.0,56.5%,p = 0.311
,Insecure visa,20.0,54.1%,27.0,43.5%,
Medication,Psychotropic medication,9.0,24.3%,10.0,16.1%,p = 0.316
Treatment,Psychological treatment,16.0,55.2%,27.0,49.1%,p = 0.596
Time in Australia (years),Time in Australia (years),5.74,8.23,3.31,4.31,p = 0.100
PTSD diagnosis (DSM-5),PTSD diagnosis (DSM-5),15.0,40.5%,19.0,30.6%,p = 0.316
PTSD Symptom severity (PSS-I; sum),PTSD Symptom severity (PSS-I; sum),26.59,14.46,20.21,14.16,p = 0.034
PTE exposure (HTQ); excluding torture item (count),PTE exposure (HTQ); excluding torture item (count),11.7,3.77,9.53,2.98,p = 0.002*
Dissociative symptoms (DES-T; sum); see posthoc analyses.,Dissociative symptoms (DES-T; sum); see posthoc analyses.,124.72,114.75,74.68,89.50,p = 0.022
