Unnamed: 0,Unnamed: 1,PCu,ACC,PCC,PCu/ACC,PCu/PCC,ACC/PCC
COBRE,State 1,−0.053,−0.142,0.145,−0.018,0.085,−0.060
,State 2,−0.004,−0.166,−0.050,0.003,0.071,−0.055
,State 3,0.051,−0.028,−0.204,0.063,0.002,−0.080
,State 4,0.068,−0.249,0.077,−0.0619,0.1234,−0.100
,State 5,−0.019,−0.139,−0.099,0.025,0.041,−0.024
FBIRN,State 1,−0.009,−0.025,0.132,−0.028,0.101,−0.128
,State 2,−0.018,−0.140,−0.099,0.028,0.049,−0.042
,State 3,0.064,−0.026,−0.202,0.075,−0.003,−0.100
,State 4,−0.010,−0.215,0.086,−0.015,0.080,−0.057
,State 5,−0.034,0.088,−0.051,0.061,0.010,−0.090
