Unnamed: 0_level_0,HC (N = 11),Stroke patients,Stroke patients,Stroke patients
Unnamed: 0_level_1,Unnamed: 1_level_1,Total (N = 19),MI-BCI + tDCS (N = 10),MI-BCI (N = 8a)
Age (years),56.7 ± 4.5,54.1 ± 10.6,52.1 ± 11.7,54.6 ± 8.5
Gender (M/F),6/5,14/5,6/4,8/0
Handedness (R/L),11/0,17/2,9/1,7/1
Affected hemisphere (R/L),–,11/8,5/5,5/3
Stroke type (I/H),–,13/6,6/4,6/2
Stroke location (C/S),–,1/18,1/9,0/8
Stroke onset to therapy (days),–,1037 ± 598,1052 ± 721,1076 ± 466
BCI screening performance (%),–,76.5 ± 10.4,79.1 ± 9.4,73.3 ± 10.3
