Unnamed: 0,Feature,Mean accuracy,Mean sensitivity,Mean specificity,Mean F1-score
-,OriginalFNC,0.82,0.823,0.821,0.815
μ = 1,ActFNC,0.82,0.855,0.795,0.815
,InertFNC,0.91,0.916,0.909,0.908
,AllFNC,0.979,0.981,0.979,0.979
μ = 2,ActFNC,0.849,0.874,0.826,0.848
,InertFNC,0.871,0.868,0.874,0.866
,AllFNC,0.942,0.921,0.963,0.937
μ = 3,ActFNC,0.886,0.891,0.882,0.886
,InertFNC,0.833,0.802,0.873,0.82
,AllFNC,0.93,0.925,0.935,0.928
μ = 4,ActFNC,0.853,0.86,0.85,0.849
,InertFNC,0.838,0.82,0.856,0.832
,AllFNC,0.957,0.96,0.951,0.956
,,,,,
