Brain region,Abbreviation,Peak coordinate (MNI),Peak coordinate (MNI),Peak coordinate (MNI),T-score,Cluster size (voxels)
Unnamed: 0_level_1,Unnamed: 1_level_1,X,Y,Z,Unnamed: 5_level_1,Unnamed: 6_level_1
Right HIP to the whole brain,,,,,,
NC vs. MCI,,,,,,
"Right lenticular nucleus, pallidum",PAL.R,−6,−21,−24,−3.5274,237.0
Left calcarine fissure and surrounding cortex,CAL.L,−9,−90,−6,3.2123,223.0
Right middle frontal gyrus,MFG.R,36,60,3,3.0021,154.0
Left paracentral lobule,PCL.L,−6,−33,51,−3.4208,113.0
NC vs. AD,,,,,,
Left Vermis_10,Vermis_10. L,−3,−42,−36,−3.4724,134.0
Right insula,INS.R,39,−18,3,−5.1014,433.0
"Left inferior frontal gyrus, triangular portion",IFGtriang.L,−36,36,0,3.1908,92.0
Left superior temporal gyrus,STG.L,−54,−24,6,−3.6128,153.0
Right middle frontal gyrus,MFG.R,39,51,15,3.708,116.0
Right median cingulate and paracingulate gyri,DCG.R,3,−24,30,3.7886,195.0
Left precentral gyrus,PreCG.L,−51,0,33,4.3147,91.0
"Left inferior parietal, but supramarginal and angular gyri",IPL.L,−30,−75,48,3.1726,99.0
Right precuneus,PCUN.R,12,−63,63,3.6249,137.0
MCI vs. AD,,,,,,
Right Heschl gyrus,HES.R,39,−21,6,−3.4666,327.0
Right fusiform gyrus,FFG.R,36,−63,−15,3.3393,112.0
Left insula,INS.L,−27,21,−12,−4.0594,106.0
"Left inferior frontal gyrus, triangular portion",IFGtriang.L,−36,36,0,3.5881,140.0
Right caudate nucleus,CAU.R,6,6,−3,−3.4331,94.0
Left caudate nucleus,CAU.L,−9,9,18,−3.8284,464.0
Left superior temporal gyrus,STG.L,−45,−27,9,−3.8611,107.0
Right median cingulate and paracingulate gyri,DCG.R,24,−42,42,4.0994,379.0
Right precuneus,PCUN.R,15,−78,48,4.1331,696.0
Whole brain to the right HIP,,,,,,
NC vs. MCI,,,,,,
Right cerebellum_Crus2,Cerebe_Crus2.R,9,−87,−42,−3.6594,103.0
NC vs. AD,,,,,,
Right cerebellum_Crus2,Cerebe_Crus2.R,18,−78,−57,−3.0899,107.0
Right Heschl gyrus,HES.R,42,−21,9,3.9572,313.0
Left middle temporal gyrus,MTG.L,−45,−48,18,−3.4141,173.0
Right calcarine fissure and surrounding cortex,CAL.R,12,−63,9,3.874,284.0
Left anterior cingulate and paracingulate gyri,ACG.L,−6,27,15,3.949,107.0
Left middle frontal gyrus,MFG.L,−30,24,51,−4.9485,434.0
Right superior occipital gyrus,SOG.R,24,−69,39,−3.2264,93.0
MCI vs. AD,,,,,,
Right insula,INS.R,39,0,−9,3.8809,394.0
Left anterior cingulate and paracingulate gyri,ACG.L,−18,33,18,3.4111,107.0
Left superior temporal gyrus,STG.L,−36,−42,21,−3.8151,148.0
"Right inferior frontal gyrus, opercular portion",IFGoperc.R,60,15,27,3.1223,89.0
Right precuneus,PCUN.R,18,−75,45,−3.2829,173.0
Left middle frontal gyrus,MFG.L,−33,24,51,−3.5317,86.0
Right paracentral lobule,PCL.R,6,−21,78,−3.8933,142.0
