Unnamed: 0,x (mm),y (mm),z (mm),T,Cluster size (voxel),Localization
DMN,,,,,,
Controls>PD???,10,32,2,5.93,738,Anterior cingulate
,−2,−68,28,5.85,591,Precuneus
,−14,50,48,5.48,"1,824",Superior frontal gyrus
,−8,6,−18,4.66,221,Medial frontal gyrus
,−58,−66,30,5.28,372,Superior temporal gyrus
,52,2,−30,4.82,441,Middle temporal gyrus
,−34,14,−32,4.73,178,Superior temporal gyrus
,−58,−10,−26,4.69,342,Inferior temporal gyrus
PD>Controls???,36,14,6,4.5,575,Insula
,60,−30,32,4.4,338,Inferior parietal lobule
,−42,50,20,4.36,495,Middle frontal gyrus
,0,14,46,3.91,143,Supplemental motor area
SMN,,,,,,
Controls>PD???,26,−18,−24,5.17,526,Parahippocampal gyrus
,−12,−40,−14,5.07,328,Parahippocampal gyrus
,−28,−24,10,4.83,"1,042",Insula
,42,−20,14,4.22,346,Insula
SN,,,,,,
Controls>PD???,42,8,−18,5.58,205,Superior temporal gyrus
,−42,8,−16,5.09,620,Superior temporal gyrus
,−14,14,34,4.7,165,Cingulate gyrus
,−50,−14,18,4.4,509,Postcentral gyrus
PD>Controls???,−2,−36,6,4.4,219,Thalamus
HN,,,,,,
Controls>PD???,34,−20,60,5.36,998,Precentral gyrus
,−22,−20,−34,5.2,245,Parahippocampal gyrus
,−40,−22,50,4.36,286,Postcentral gyrus
,50,−54,24,4.33,424,Superior temporal gyrus
