Patients,Group contrast,Volume type,Area,MNI coordinates,Cluster size,FWEc,t‐value,Correlation between volume and cognitive change,Correlation between volume and cognitive change,Correlation between volume and cognitive change,Correlation between volume and cognitive change
Patients,Group contrast,Volume type,Area,MNI coordinates,Cluster size,FWEc,t‐value,T1‐T0,T1‐T0,T2‐T0,T2‐T0
Patients,Group contrast,Volume type,Area,MNI coordinates,Cluster size,FWEc,t‐value,LAN,MEM,LAN,MEM
All,VMG > ABG,GMV,"Left superior temporal gyrus (BA 22, 38)",−57 −7 −5,7070,7070,4.33???,n.s.,n.s.,n.s.,n.s.
All,VMG > ABG,GMV,Left middle temporal gyrus (BA 21),−62 −16 −1,7070,7070,4.33???,n.s.,n.s.,n.s.,n.s.
All,VMG > ABG,GMV,Left inferior temporal gyrus (BA 20),−62 −10 −18,7070,7070,4.33???,n.s.,n.s.,n.s.,n.s.
Aphasics,VMG > ABG,WMV,Right lingual gyrus,10 −79 0,2498,2498,6.17???,r = 0.80P < 0.001,r = 0.56P = 0.024,r = 0.72P = 0.004,r = 0.68P = 0.005
Aphasics,VMG > ABG,WMV,Right cuneus,8 −87 9,2498,2498,6.17???,r = 0.80P < 0.001,r = 0.56P = 0.024,r = 0.72P = 0.004,r = 0.68P = 0.005
Aphasics,VMG > ABG,WMV,Right middle occipital gyrus,9 −96 12,2498,2498,6.17???,r = 0.80P < 0.001,r = 0.56P = 0.024,r = 0.72P = 0.004,r = 0.68P = 0.005
Aphasics,IMG > ABG,GMV,"Right middle temporal gyrus (BA 37, 39)",44 −74 21,2893,2893,6.16???,n.s.,n.s.,n.s.,r = 0.62P = 0.040
Aphasics,IMG > ABG,GMV,Right middle occipital gyrus (BA 19),47 −82 4,2893,2893,6.16???,n.s.,n.s.,n.s.,r = 0.62P = 0.040
