Unnamed: 0,Stage,VMG N = 27/26,IMG N = 23,ABG N = 33/32,P‐value
POMS Tension (score range 0–16),T0,3.8 (3.2),4.4 (3.2),4.2 (3.6),0.684
POMS Tension (score range 0–16),T1,3.9 (3.3),2.9 (2.2),3.0 (2.8),0.597
POMS Tension (score range 0–16),T2,3.5 (3.4),2.6 (2.0),3.3 (2.8),0.875
POMS Depression (score range 0–28),T0,5.3 (5.7),7.0 (6.3),6.7 (6.9),0.56
POMS Depression (score range 0–28),T1,3.8 (3.9),3.0 (2.6),5.7 (5.4),0.103
POMS Depression (score range 0–28),T2,4.9 (5.6),3.5 (3.0),5.1 (5.9),0.612
POMS Irritability (score range 0–28),T0,4.1 (5.6),6.1 (4.6),4.4 (6.0),0.753
POMS Irritability (score range 0–28),T1,5.8 (4.4),3.4 (3.5),5.4 (6.9),0.164
POMS Irritability (score range 0–28),T2,5.9 (5.5),2.9 (3.1),5.2 (5.2),0.401
POMS Vigor (score range 0–24),T0,10.9 (5.5),8.1 (5.1),8.8 (5.2),0.152
POMS Vigor (score range 0–24),T1,13.7 (6.9),12.0 (6.4),11.3 (5.9),0.387
POMS Vigor (score range 0–24),T2,13.0 (6.6),13.3 (5.6),11.6 (6.3),0.522
POMS Fatigue (score range 0–12),T0,5.5 (2.7),5.5 (2.8),5.0 (2.9),0.822
POMS Fatigue (score range 0–12),T1,4.1 (2.3),4.0 (2.7),4.7 (3.1),0.913
POMS Fatigue (score range 0–12),T2,4.1 (3.0),3.3 (2.9),3.5 (3.1),0.567
POMS Inertia (score range 0–12),T0,2.6 (2.0),3.0 (2.5),3.0 (2.9),0.813
POMS Inertia (score range 0–12),T1,2.6 (2.7),2.3 (2.4),3.2 (2.4),0.639
POMS Inertia (score range 0–12),T2,2.8 (2.7),2.6 (2.9),2.9 (3.1),0.405
POMS Confusion (score range 0–20),T0,7.4 (4.3),7.2 (4.6),7.4 (4.5),0.884
POMS Confusion (score range 0–20),T1,3.5 (3.7),2.4 (2.8),5.1 (3.4),0.096
POMS Confusion (score range 0–20),T2,3.8 (3.7),2.8 (2.8),3.5 (3.2),0.992
POMS Forgetfulness (score range 0–12),T0,4.2 (2.9),4.1 (2.6),4.2 (2.5),0.796
POMS Forgetfulness (score range 0–12),T1,3.4 (2.6),3.0 (2.6),3.5 (2.4),0.768
POMS Forgetfulness (score range 0–12),T2,3.4 (3.0),3.0 (3.0),3.2 (2.7),0.813
