Areas in the model,Areas in the model,Areas in the model
Lobe,Abbreviation,Brain Region
Occipital,V1,Visual area 1
Occipital,V2,Visual area 2
Occipital,V3,Visual area 3
Occipital,VP,Ventral posterior area
Occipital,V3A,Visual area V3A
Occipital,V4,Visual area 4
Occipital,VOT,Ventral occipitotemporal area
Occipital,V4t,V4 transitional area
Occipital,MT,Middle temporal area
Temporal,FST,Floor of superior temporal area
Temporal,PITd,Posterior inferotemporal (dorsal) area
Temporal,PITv,Posterior inferotemporal (ventral) area
Temporal,CITd,Central inferotemporal (dorsal) area
Temporal,CITv,Central inferotemporal (ventral) area
Temporal,AITd,Anterior inferotemporal (dorsal) area
Temporal,AITv,Anterior inferotemporal (ventral) area
Temporal,STPp,Superior temporal polysensory (posterior) area
Temporal,STPa,Superior temporal polysensory (anterior) area
Temporal,TF,Parahippocampal area TF
Temporal,TH,Parahippocampal area TH
Parietal,MSTd,Medial superior temporal (dorsal) area
Parietal,MSTl,Medial superior temporal (lateral) area
Parietal,PO,Parieto-occipital area
Parietal,PIP,Posterior intraparietal area
Parietal,LIP,Lateral intraparietal area
Parietal,VIP,Ventral intraparietal area
Parietal,MIP,Medial intraparietal area
Parietal,MDP,Medial dorsal parietal area
Parietal,DP,Dorsal prelunate area
Parietal,7a,Area 7a
Frontal,FEF,Frontal eye field
Frontal,46,Middle frontal area 46
