Unnamed: 0_level_0,Unnamed: 1_level_0,Coefficients,Coefficients,Unnamed: 4_level_0,Multicollinearity,Multicollinearity,Unnamed: 7_level_0,Model,Unnamed: 9_level_0,Unnamed: 10_level_0
Unnamed: 0_level_1,B,SE,β,p,Tolerance,VIF,F test,p,R,R2
Mental fatigue,,,,,,,5.6,<.01,0.34,0.12
Constant,2.86,2.73,–,.29,–,–,,,,
Age,0.09,0.04,0.20,.01,0.94,1.06,,,,
ECAS—memory,–0.14,0.08,–0.15,.09,0.89,1.11,,,,
DAS—executive,0.16,0.1,0.14,.12,0.85,1.17,,,,
Physical fatigue,,,,,,,5.67,<.01,0.28,0.08
Constant,14.48,1.57,–,<.01,–,–,,,,
ALSFRS‐R gross motor,–0.26,0.11,–0.19,.02,0.98,1.01,,,,
STAI form Y‐1,0.06,0.03,0.18,.03,0.98,1.01,,,,
