Unnamed: 0_level_0,Mental fatigue,Mental fatigue,Mental fatigue,Mental fatigue,Physical fatigue,Physical fatigue,Physical fatigue,Physical fatigue
Variables,B,SE,β,p,B,SE,β,p
Demographics,,,,,,,,
Age,0.12,0.04,0.26,<.01,0.07,0.04,0.15,0.08
"Education, years",–0.11,0.08,–0.11,.20,0.00,0.08,0.00,0.96
Sex???,0.17,0.8,0.01,.83,1.25,0.75,0.14,0.1
Clinical and motor features,,,,,,,,
"Disease duration, months",0.01,0.01,0.07,.39,0.01,0.01,0.08,0.31
ALSFRS‐R total score,0.01,0.05,0.02,.77,–0.04,0.05,–0.07,0.38
ALSFRS‐R subscores,,,,,,,,
Bulbar,0.34,0.19,0.15,.08,0.11,0.19,0.05,0.53
Fine motor,0.02,0.12,0.01,.85,–0.01,0.11,–0.01,0.87
Gross motor,–0.09,0.12,–0.07,.42,–0.29,0.11,–0.22,0.01
Respiratory,0.10,0.22,0.04,.62,–0.06,0.21,–0.02,0.75
Upper Motor Neuron score,–0.13,0.09,–0.13,.14,0.00,0.08,0.00,0.92
Patients under NIV???,–1.90,1.45,–0.11,.19,0.25,0.13,0.01,0.85
Patients with PEG???,–0.81,2.6,–0.02,.75,2.90,2.46,0.10,0.24
Patients in Riluzole therapy???,2.87,1.52,0.16,.06,0.01,1.46,0.00,0.99
Extra‐motor features,,,,,,,,
ECAS total score,–0.03,0.02,–0.12,.15,–0.03,0.02,–0.14,0.1
ECAS subscores,,,,,,,,
Executive functions,–0.03,0.04,–0.06,.49,–0.05,0.04,–0.11,0.19
Fluency,–0.01,0.06,–0.02,.78,–0.10,0.06,–0.14,0.09
Language,–0.08,0.08,–0.08,.33,–0.05,0.08,–0.05,0.54
Memory,–0.20,0.08,–0.21,.01,–0.06,0.07,–0.07,0.42
Visuospatial abilities,–0.36,0.27,–0.11,.19,–0.14,0.26,–0.04,0.58
Beck Depression Inventory‐II,–0.02,0.04,–0.04,.60,0.08,0.04,0.17,0.05
STAI form Y‐1,0.00,0.03,0.01,.88,0.07,0.03,0.21,0.01
DAS total score,0.07,0.04,0.16,.06,0.00,0.04,–0.01,0.85
DAS subscales:,,,,,,,,
Executive,0.27,0.09,0.24,<.01,0.02,0.09,0.02,0.76
Emotional,0.04,0.1,0.03,.67,–0.09,0.09,–0.08,0.35
Cognitive and Behavioral Initiation,0.05,0.07,0.07,.41,0.01,0.06,0.01,0.88
Epworth Sleepiness Scale,0.01,0.12,0.00,.92,0.00,0.11,0.00,0.95
