ROI i,ROI j,Mean FC in ASD,Mean FC in HC,T-value
Frontal_Inf_Oper_L,Frontal_Sup_Orb_L,0.34,0.16,3.84
Temporal_Mid_R,Frontal_Mid_L,0.26,0.08,3.27
Frontal_Inf_Tri_R,Frontal_Inf_Oper_L,0.58,0.39,3.32
Cingulum_Post_L,Frontal_Inf_Oper_L,0.21,–0.02,3.78
Cingulum_Post_R,Frontal_Inf_Oper_L,0.14,–0.05,3.3
Temporal_Mid_R,Frontal_Inf_Oper_L,0.22,0.02,3.65
Temporal_Mid_R,Frontal_Inf_Tri_L,0.28,0.09,3.42
Frontal_Sup_Medial_L,Frontal_Inf_Orb_L,0.61,0.41,3.53
Frontal_Sup_Medial_R,Frontal_Inf_Orb_L,0.48,0.29,3.36
Frontal_Med_Orb_L,Frontal_Inf_Orb_L,0.57,0.35,3.45
SupraMarginal_L,Frontal_Sup_Medial_R,0.16,–0.03,3.9
Temporal_Inf_L,Frontal_Med_Orb_L,0.43,0.20,3.78
Temporal_Inf_L,Frontal_Med_Orb_R,0.33,0.14,3.35
SupraMarginal_L,Rectus_L,0.11,–0.06,3.58
Parietal_Inf_R,Cingulum_Post_L,0.11,–0.12,3.86
SupraMarginal_L,Cingulum_Post_L,0.16,–0.03,3.42
Temporal_Mid_L,Cingulum_Post_L,0.5,0.27,3.8
Temporal_Inf_L,Cingulum_Post_L,0.51,0.21,4.51
Temporal_Inf_R,Cingulum_Post_L,0.45,0.24,3.27
Parietal_Sup_R,Cingulum_Post_R,0.11,–0.06,3.51
Temporal_Inf_L,Cingulum_Post_R,0.37,0.13,3.85
Temporal_Inf_R,Cingulum_Post_R,0.41,0.22,3.6
Temporal_Mid_L,Angular_L,0.58,0.32,3.47
Temporal_Inf_L,Angular_L,0.66,0.40,3.31
Temporal_Inf_L,Temporal_Mid_R,0.58,0.37,3.4
