CORE,CORE.1,CORE.2,CORE.3,CORE.4,EDEMA,EDEMA.1,EDEMA.2,EDEMA.3,EDEMA.4
"Model: Independent variables or regressors: GBM core volume; age; ECOG performance status; radicality of surgical resection (biopsy, partial resection, gross total resection); MGMT promoter methylation status; Stupp protocol.","Model: Independent variables or regressors: GBM core volume; age; ECOG performance status; radicality of surgical resection (biopsy, partial resection, gross total resection); MGMT promoter methylation status; Stupp protocol.","Model: Independent variables or regressors: GBM core volume; age; ECOG performance status; radicality of surgical resection (biopsy, partial resection, gross total resection); MGMT promoter methylation status; Stupp protocol.","Model: Independent variables or regressors: GBM core volume; age; ECOG performance status; radicality of surgical resection (biopsy, partial resection, gross total resection); MGMT promoter methylation status; Stupp protocol.","Model: Independent variables or regressors: GBM core volume; age; ECOG performance status; radicality of surgical resection (biopsy, partial resection, gross total resection); MGMT promoter methylation status; Stupp protocol.","Model: Independent variables or regressors: GBM edema volume; age; ECOG PS; radicality of surgical resection (biopsy, partial resection, gross total resection); MGMT promoter methylation status; Stupp protocol.","Model: Independent variables or regressors: GBM edema volume; age; ECOG PS; radicality of surgical resection (biopsy, partial resection, gross total resection); MGMT promoter methylation status; Stupp protocol.","Model: Independent variables or regressors: GBM edema volume; age; ECOG PS; radicality of surgical resection (biopsy, partial resection, gross total resection); MGMT promoter methylation status; Stupp protocol.","Model: Independent variables or regressors: GBM edema volume; age; ECOG PS; radicality of surgical resection (biopsy, partial resection, gross total resection); MGMT promoter methylation status; Stupp protocol.","Model: Independent variables or regressors: GBM edema volume; age; ECOG PS; radicality of surgical resection (biopsy, partial resection, gross total resection); MGMT promoter methylation status; Stupp protocol."
Model parameters,adjusted R2,0.34,0.34,0.34,Model parameters,adjusted R2,0.31,0.31,0.31
Model parameters,F,8.7,8.7,8.7,Model parameters,F,7.5,7.5,7.5
Model parameters,p,<0.001,<0.001,<0.001,Model parameters,p,<0.001,<0.001,<0.001
Significant regressors,Variable,MGMT,ECOG,Radicality of surgery,Significant regressors,Variable,MGMT,ECOG,Radicality of surgery
Significant regressors,β,5.8,−4,2.5,Significant regressors,β,4.2,-4,2.2
Significant regressors,p,0.003,<0.001,0.01,Significant regressors,p,0.029,<0.001,0.02
"Model: Independent variables or regressors: percentages of overlap between GBM core and GMNs; GBM core volume; age; ECOG performance status; radicality of surgical resection (biopsy, partial resection, gross total resection); MGMT promoter methylation status; Stupp protocol.","Model: Independent variables or regressors: percentages of overlap between GBM core and GMNs; GBM core volume; age; ECOG performance status; radicality of surgical resection (biopsy, partial resection, gross total resection); MGMT promoter methylation status; Stupp protocol.","Model: Independent variables or regressors: percentages of overlap between GBM core and GMNs; GBM core volume; age; ECOG performance status; radicality of surgical resection (biopsy, partial resection, gross total resection); MGMT promoter methylation status; Stupp protocol.","Model: Independent variables or regressors: percentages of overlap between GBM core and GMNs; GBM core volume; age; ECOG performance status; radicality of surgical resection (biopsy, partial resection, gross total resection); MGMT promoter methylation status; Stupp protocol.","Model: Independent variables or regressors: percentages of overlap between GBM core and GMNs; GBM core volume; age; ECOG performance status; radicality of surgical resection (biopsy, partial resection, gross total resection); MGMT promoter methylation status; Stupp protocol.","Model: Independent variables or regressors: percentages of overlap between GBM edema and GMNs; GBM edema volume; age; ECOG performance status; radicality of surgical resection (biopsy, partial resection, gross total resection); MGMT promoter methylation status; Stupp protocol.","Model: Independent variables or regressors: percentages of overlap between GBM edema and GMNs; GBM edema volume; age; ECOG performance status; radicality of surgical resection (biopsy, partial resection, gross total resection); MGMT promoter methylation status; Stupp protocol.","Model: Independent variables or regressors: percentages of overlap between GBM edema and GMNs; GBM edema volume; age; ECOG performance status; radicality of surgical resection (biopsy, partial resection, gross total resection); MGMT promoter methylation status; Stupp protocol.","Model: Independent variables or regressors: percentages of overlap between GBM edema and GMNs; GBM edema volume; age; ECOG performance status; radicality of surgical resection (biopsy, partial resection, gross total resection); MGMT promoter methylation status; Stupp protocol.","Model: Independent variables or regressors: percentages of overlap between GBM edema and GMNs; GBM edema volume; age; ECOG performance status; radicality of surgical resection (biopsy, partial resection, gross total resection); MGMT promoter methylation status; Stupp protocol."
Model parameters,adjusted R2,0.2,0.2,0.2,Model parameters,adjusted R2,0.19,0.19,0.19
Model parameters,F,2,2,2,Model parameters,F,1.8,1.8,1.8
