Functional networks,Functional networks,EDEMA,EDEMA,EDEMA
Functional networks,Functional networks.1,Involvement frequency (threshold 0.5%),Mean,Standard deviation %
Gray matter networks,Central Vision,22.83%,2.92%,8.46%
Gray matter networks,Peripheral Vision,25.00%,2.16%,7.66%
Gray matter networks,Somatomotor A,50.00%,5.33%,10.12%
Gray matter networks,Somatomotor B,80.43%,14.21%,14.53%
Gray matter networks,Dorsal Attention A,54.35%,4.66%,7.57%
Gray matter networks,Dorsal Attention B,68.48%,6.30%,7.94%
Gray matter networks,Salient Ventral Attention A,89.13%,9.83%,8.59%
Gray matter networks,Salient Ventral Attention B,58.70%,6.41%,8.54%
Gray matter networks,Limbic A,27.17%,2.19%,5.54%
Gray matter networks,Limbic B,17.39%,1.06%,3.13%
Gray matter networks,Control network A,83.70%,9.59%,9.08%
Gray matter networks,Control network B,71.74%,6.48%,8.90%
Gray matter networks,Control network C,19.57%,0.86%,2.44%
Gray matter networks,Default Mode Network A,70.65%,6.73%,8.34%
Gray matter networks,Default Mode Network B,76.09%,7.62%,10.07%
Gray matter networks,Default Mode Network C,35.87%,1.02%,1.88%
Gray matter networks,Temporo-Parietal,52.17%,5.47%,9.20%
Gray matter networks,Subcortical gray matter (basal ganglia and thalami),65.22%,6.72%,12.93%
Gray matter networks,Hippocampus,18.48%,0.43%,1.14%
White matter networks,N1 (Cingulum and associated tracts),73.91%,3.92%,3.84%
White matter networks,N2 (Uncinate and middle temporal lobe tracts),53.26%,4.90%,8.82%
White matter networks,N3 (Sensorimotor superficial white-matter system),77.17%,7.96%,9.56%
White matter networks,N4 (Forceps minor system),39.13%,4.88%,8.47%
White matter networks,N5 (Superior longitudinal fasciculus system),94.57%,23.96%,13.24%
White matter networks,N6 (Visual superficial white-matter system),43.48%,4.09%,10.07%
White matter networks,N7 (Inferior longitudinal fasciculus system),65.22%,10.34%,11.71%
White matter networks,N8 (Inferior corticospinal Tract),38.04%,2.47%,6.63%
White matter networks,N9 (Posterior cerebellar tracts),0%,0.03%,0.07%
White matter networks,N10 (Dorsal frontoparietal tracts),81.52%,10.67%,8.61%
White matter networks,N11 (Deep frontal white matter),67.39%,11.98%,14.78%
White matter networks,N12 (Ventral frontoparietal tracts),93.48%,14.80%,14.28%
