Functional networks,Functional networks,CORE,CORE,CORE
Functional networks,Functional networks.1,Involvement frequency (threshold 0.5%)*,Mean,Standard deviation
Gray matter networks,Central Vision,16.16%,2.9%,10.5%
Gray matter networks,Peripheral Vision,18.18%,2.8%,8.9%
Gray matter networks,Somatomotor A,22.22%,4.3%,15.0%
Gray matter networks,Somatomotor B,54.55%,11.3%,20.3%
Gray matter networks,Dorsal Attention A,26.26%,4.0%,9.5%
Gray matter networks,Dorsal Attention B,32.32%,3.3%,7.4%
Gray matter networks,Salient Ventral Attention A,78.79%,10.6%,11.4%
Gray matter networks,Salient Ventral Attention B,57.58%,7.5%,10.5%
Gray matter networks,Limbic A,30.30%,5.1%,10.9%
Gray matter networks,Limbic B,15.15%,1.5%,6.1%
Gray matter networks,Control network A,54.55%,7.2%,11.2%
Gray matter networks,Control network B,46.46%,4.2%,6.8%
Gray matter networks,Control network C,11.11%,0.9%,3.2%
Gray matter networks,Default Mode Network A,47.47%,5.4%,11.2%
Gray matter networks,Default Mode Network B,68.69%,8.7%,13.9%
Gray matter networks,Default Mode Network C,29.29%,2.2%,5.5%
Gray matter networks,Temporo-Parietal,49.49%,4.5%,9.4%
Gray matter networks,Subcortical gray matter (basal ganglia and thalami),55.56%,11.2%,18.6%
Gray matter networks,Hippocampus,35.35%,2.5%,5.3%
White matter networks,N1 (Cingulum and associated tracts),44.44%,4.7%,8.9%
White matter networks,N2 (Uncinate and middle temporal lobe tracts),52.53%,8.0%,13.3%
White matter networks,N3 (Sensorimotor superficial white-matter system),40.40%,8.9%,19.2%
White matter networks,N4 (Forceps minor system),32.32%,5.0%,10.7%
White matter networks,N5 (Superior longitudinal fasciculus system),83.84%,13.4%,16.0%
White matter networks,N6 (Visual superficial white-matter system),40.40%,5.3%,13.2%
White matter networks,N7 (Inferior longitudinal fasciculus system),59.60%,11.4%,12.9%
White matter networks,N8 (Inferior corticospinal Tract),43.43%,8.0%,14.6%
White matter networks,N9 (Posterior cerebellar tracts),18.18%,0.2%,0.6%
White matter networks,N10 (Dorsal frontoparietal tracts),46.46%,5.8%,9.6%
White matter networks,N11 (Deep frontal white matter),46.46%,12.2%,18.8%
White matter networks,N12 (Ventral frontoparietal tracts),82.83%,16.9%,16.6%
