Unnamed: 0,ASD (n = 354),TD (n = 446),t/x2,p value
Age (years),13.47 ± 3.62,13.40 ± 3.26,t(798) = 0.29,.76???
Sex (male/female),301/53,382/64,χ2 = 0.053,.82???
Handedness (right/left/mixed),291/34/29,387/29/30,χ2 = 1.25,.54???
FIQ,105.55 ± 17.07,112.97 ± 17.07,t(798) = −7.00,<.05???
Mean FD (mm),0.15 ± 0.05,0.63 ± 0.05,t(798) = −1.26,.21???
ADI_R (N = 257),,,,
Social,19.68 ± 5.29,,,
Verbal,15.41 ± 4.62,,,
RRB,5.80 ± 3.30,,,
Onset,3.03 ± 2.51,,,
ADOS gotham,,,,
RRB (N = 204),2.03 ± 1.61,,,
Social (N = 227),8.03 ± 2.83,,,
Communication (N = 227),3.50 ± 1.64,,,
Total (N = 238),11.57 ± 4.03,,,
