Network,Region of Interest,Brodmann Area
Dorsal DMN,"1) medial prefrontal, anterior cingulate, orbitofrontal cortex; 2) angular gyrus L; 3) superior frontal gyrus R; 4) posterior cingulate cortex, precuneus; 5) midcingulate cortex; 6) angular gyrus R; 7) thalamus L,R; 8) hippocampus L; 9) hippocampus R","1) 9, 10, 24, 32, 11; 2) 39; 3) 9; 4) 23, 30; 5) 23; 6) 39; 7) N/A; 8) 20, 36, 30; 9) 20, 36, 30."
Ventral DMN,"1) retrosplenial, posterior cingulate cortex L; 2) middle frontal gyrus L; 3) parahippocampal gyrus L; 4) middle occipital gyus L; 5) retrosplenial, posterior cingulate cortex R; 6) precuneus; 7) superior, middle frontal gyrus R; 8) parahippocampal gyrus R; 9) angular, middle occipital gyrus R; 10) cerebellum lobule IX R","1) 29, 30, 23; 2) 8, 6; 3) 37, 20; 4) 19, 39; 5) 30, 23; 6) 7, 5; 7) 9, 8; 8) 37, 30; 9) 39, 19; 10) N/A."
Language,"1) Inferior frontal gyrus; 2) middle temporal gyrus, angular gyrus L; 3) middle, superior temporal, supramarginal, angular gyrus L; 4) inferior frontal gyrus R; 5) supramarginal, superior, middle temporal gyrus R; 6) cerebellum crus I L.","1) 45, 47; 2) 21, 37, 39; 3) 21, 22, 42, 40, 39; 4) 47, 45; 5) 21, 22, 40; 6) N/A."
LECN,"1) middle, superior frontal gyrus L; 2) inferior, orbitofrontal gyrus L; 3) inferior, superior parietal gyrus, precuneus, angular gyrus L; 4) inferior, middle temporal gyrus L; 5) cerebellum crus I R; 6) thalamus L","1) 8, 9; 2) 45, 47, 10; 3) 7, 40, 39; 4) 20, 37; 5) N/A; 6) N/A."
RECN,"1) middle, superior frontal gyrus R; 2) middle frontal gyrus R; 3) inferior parietal, supramarginal, angular gyrus R; 4) superior frontal gyrus R; 5) cerebellum crus I, crus II, lobule VI L; 6) caudate R","1) 46, 8, 9; 2) 10, 46; 3) 24, 32, 8. 6; 4) 46, 9; 5) 48, 47; 6) N/A; 7) N/A."
Anterior Salience,"1) middle frontal gyrus L, 2) insula L; 3) anterior cingulate, medial prefrontal, supplementary motor area; 4) middle frontal gyrus R; 5) insula R; 6) cerebellum lobule VI, crus I L; 7) cerebellum lobule VI, crus I R","1) 9, 46; 2) 8, 6; 3) 24, 32, 8, 6; 4) 46, 9; 5) 48, 47; 6) N/A; 7) N/A."
Posterior Salience,"1) middle frontal gyrus L; 2) supramarginal, inferior parietal gyrus L; 3) precuneus L; 4) midcingulale cortex R; 5) superior parietal gyrus, precuneus R; 6) supramarginal, inferior parietal gyrus R; 7) thalamus L; 8) cerebellum lobule VI; 9) posterior insula, putamen L; 10) thalamus R; 11) cerebellum lobule VI; 12) posterior insula R","1) 46; 2) 40; 3) 5; 4) 23; 5) 7, 5; 6) 2, 40; 7) N/A; 8) N/A; 9) 48; 10) N/A; 11) N/A; 12) 48."
Visuo-spatial,"1) middle, superior frontal, precentral gyrus L; 2) inferior parietal sulcus L; 3) frontal operculum,inferior frontal gyrus L; 4) inferior temporal gyrus L; 5) middle frontal gyrus R; 6) inferior parietal lobule R; 7) frontal operculum, inferior frontal gyrus R; 8) middle temporal gyrus R; 9) cerebellum lobule VIII, VIIb L; 10) cerebellum lobule VIII, VIIb R; 11) cerebellum lobule VI, crus I R","1) 6; 2) 2, 40, 7; 3) 44, 48, 45; 4) 37; 5) 6; 6) 2, 40, 7; 7) 44, 48; 8) 37; 9) N/A; 10) N/A; 11) N/A."
High visual,"1) middle, superior occipital gyrus L; 2) middle, superior occipital gyrus R","1) 18, 19, 17; 2) 17, 18, 19."
Primary visual,1) calcarine sulcus; 2) thalamus LR,1) 17; 2) N/A
Basal ganglia,"1) thalamus, caudate L; 2) thalamus, caudate, putamen R; 3) inferior frontal gyrus L; 4) inferior frontal gyrus R; 5) pons","1) N/A; 2) N/A; 3) 45, 48; 4) 45, 48; 5) N/A."
Precuneus,"1) midcingulate, posterior cingulate cortex; 2) precuneus; 3) angular gyrus L; 4) angular gyrus R","1) 23; 2) 7, 19; 3) 7, 40; 4) 7, 40."
Sensori-motor,"1) pre, post central gyrus L; 2) pre, post central gyrus R; 3) supplementary motor area; 4) thalamus L; 5) cerebellum lobule IV, VI, VI bilateral; 6) thalamus R.","1) 4, 2; 2) 4, 6, 3; 3) 6; 4) N/A; 5) N/A; 6) N/A."
Auditory,"1) superior temporal, heschl's gyrus L; 2) superior temporal gyrus R; 3) thalamus R","1) 22, 48; 2) 22, 38, 42, 48; 3) N/A."
