Unnamed: 0,Network,+/-,Altered functional connectivity,"T, p-FDR"
Pre (vs. controls),Pre (vs. controls),Pre (vs. controls),Pre (vs. controls),Pre (vs. controls)
,Language,⇓,Middle temporal gyrus L → superior temporal/inferior parietal L,"−2.70, 0.046"
,Sensorimotor,⇑,Cerebellum 4/5/6 + vermis B → pre/post central gyrus L,"2.83, 0.032"
,vDMN,⇓,Middle frontal gyrus L → parahippocampal gyrus L,"−2.99, 0.038"
,Visual,⇑,Thalamus L → middle/superior occipital gyrus R,"2.48, 0.048"
Post (vs. controls),Post (vs. controls),Post (vs. controls),Post (vs. controls),Post (vs. controls)
,dDMN,⇑,Inferior parietal (angular) gyrus R → superior frontal gyrus R,"2.86, 0.037"
,,⇓,Inferior parietal (angular) gyrus L ←→ middle cingulated gyrus,"−2.88, 0.047"
,Salience,⇓,Insula R → Insula L,"−2.73, 0.043"
,Post Salience,⇑,Posterior insula L → superior parietal gyrus/precuneus R,"3.38, 0.015"
Pre and Post (vs. controls),Pre and Post (vs. controls),Pre and Post (vs. controls),Pre and Post (vs. controls),Pre and Post (vs. controls)
,Visuospatial,⇑,Inferior parietal gyrus R → inferior parietal gyrus L,"3.16, 0.025"
Improved task performance (within patients),Improved task performance (within patients),Improved task performance (within patients),Improved task performance (within patients),Improved task performance (within patients)
,vDMN,⇑,Posterior cingulate cortex ←→ middle/superior frontal gyrus R,"3.51, 0.013"
,dDMN,⇓,Anterior cingulate cortex / medial prefrontal gyrus L → hippocampus L,"−3.51, 0.011"
,Visuospatial,⇑,Inferior temporal gyrus L → inferior parietal gyrus L,"3.13, 0.038"
,,⇑,Inferior temporal gyrus L → cerebellum 7b/8 R,"2.82, 0.041"
