Variable,Young group (n = 80),Old group (n = 56)
Age,31.34 (13.12),69.32 (4.23)
Gender (% female),44 (55%),34 (60.71%)
Years of education,16.71 (3.16),15.33 (3.14)
MMSE,29.33 (1.54),29.05 (1.10)
CVLT immediate recall trial 1 list A,65.62 (7.21),55.72 (10.24)
CVLT immediate recall trial 1 list B,8.19 (2.17),5.66 (2.04)
CVLT total immediate recall list A,9.46 (2.39),7.21 (2.23)
CVLT short delayed free recall,14.06 (2.14),11.30 (3.10)
CVLT short delayed cued recall,14.35 (1.91),12.42 (2.48)
CVLT long delayed free recall,14.46 (2.01),12.19 (3.25)
CVLT long delayed cued recall,14.65 (1.73),12.47 (2.84)
CVLT Intrusion,1.79 (2.41),3.29 (4.52)
CVLT recognition discriminability,15.69 (0.65),14.96 (1.39)
TMT – A,23.86 (7.76),39.21 (10.02)
CERAD semantic fluency (Animals),26.53 (3.48),22.52 (4.97)
CERAD phonemic fluency (s-words),15.60 (3.64),15.50 (4.62)
Letter number span,17.41 (2.77),14.91 (2.71)
Spatial span,18.54 (2.79),15.48 (2.79)
MAC-Q,26.07 (2.97),26.47 (4.19)
