Resting state networks,OldHM vs. OldLM,OldHM vs. OldLM,OldHM vs. YugLM,OldHM vs. YugLM,OldLM vs. YugLM,OldLM vs. YugLM
Resting state networks,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1
Resting state networks,OldHM > OldLM,OldHM < OldLM,OldHM > YugLM,OldHM < YugLM,OldLM > YugLM,OldLM < YugLM
Primary visual,135,145,1206,290,16126,8031
Dorsal default mode,0,1,106,231,597,198
Right executive control,0,0,887,366,4451,2009
Cerebellum,7173,86,802,806,260,3366
Anterior salience,164,370,512,149,979,1100
Higher visual,91,90,127,783,9110,13467
Left executive control,0,0,2594,981,7237,2632
Visuospatial,556,443,162,581,5408,6842
Language,0,0,138,563,1140,1808
Precuneus,290,66,855,1407,1529,3087
Ventral default mode,0,258,1684,332,462,2756
Medial visual,634,107,0,0,3471,7121
Posterior salience,0,0,447,1917,847,1507
Basal ganglia,0,0,1977,563,255,1285
Medial sensorimotor,2042,174,140,28,1828,3989
Auditory,1222,4874,5049,592,5560,7105
Sensorimotor,34,0,1887,4656,1692,6439
