Unnamed: 0,ROIs,Brain regions,Direction,MNI coordinates (x/y/z mm),Cluster size,PeakT
,Default mode network (DMN),Default mode network (DMN),,,,
➀,Posterior cingulate cortex.R,middle frontal gyrus.R,DNR > Non-DNR,36 54 6,48.0,3.968
➁,Posterior cingulate cortex.R,middle frontal gyrus.L,DNR > Non-DNR,–42 48 12,48.0,4.604
➂,Medial prefrontal cortex.R,middle cingulate cortex.L,DNR > Non-DNR,–9 –33 42,88.0,5.106
➃,lateral parietal cortex.L,calcarine.R,DNR < non-DNR,12 –69 6,105.0,–5.252
,Salience network (SN),,,,,
➄,Insula.R,superior occipital gyrus.R,DNR > Non-DNR,24 –90 15,37.0,4.747
,Central executive network (CEN),Central executive network (CEN),,,,
➅,Anterior prefrontal cortex.L,middle cingulate cortex.L,DNR > Non-DNR,–6 –45 36,66.0,4.659
,Limbic network,,,,,
➆,Ventral hippocampus.L,inferior parietal gyrus.R,DNR < non-DNR,54 -48 42,111.0,–4.750
➇,Amygdala.L,superior temporal gyrus.L,DNR < non-DNR,–54 –39 21,37.0,–4.506
