Unnamed: 0_level_0,Group,Group,Unnamed: 3_level_0
Brain regions,CBS patient,C-CBS group,p value
L cuneus,1.27,1.87,0.0008
R cuneus,1.27,1.92,0.0006
L fusiform,1.7,2.77,0.0003
R fusiform,1.59,2.74,0.0002
L inferior parietal,1.47,2.5,2e-05
R inferior temporal,1.64,2.87,0.0001
L lateral occipital,1.48,2.3,0.0006
R lateral occipital,1.54,2.32,0.0009
L lateral orbitofrontal,1.67,2.64,0.0005
L lingual,1.51,2.04,5e-05
L middle temporal,1.65,2.9,4e-05
L paracentral,1.5,2.38,0.0005
L pars opercularis,1.64,2.58,0.0005
R pars opercularis,1.49,2.6,0.0002
L pars triangularis,1.48,2.46,3e-05
L postcentral,1.29,2.13,0.0006
L precentral,1.49,2.58,0.0002
L precuneus,1.53,2.43,3e-05
L rostral middle frontal,1.58,2.41,0.0005
R superior frontal,1.53,2.7,0.0002
L superior parietal,1.29,2.24,7e-06
R superior parietal,1.24,2.22,8e-05
L superior temporal,1.61,2.86,1e-05
R superior temporal,1.69,2.85,0.0005
L supra marginal,1.51,2.62,0.0001
L insula,1.9,3.07,1e-05
R insula,2.29,3.11,0.0006
