Unnamed: 0_level_0,Group,Group,Unnamed: 3_level_0
Brain regions,CBS patient,LB subjects,p value
R caudal middle frontal,1.55,2.52,0.0001
R cuneus,1.27,1.85,0.0004
L fusiform,1.7,2.66,0.0004
R fusiform,1.59,2.69,4e-06
L inferior parietal,1.47,2.47,8e-07
R inferior parietal,1.53,2.51,1e-05
L inferior temporal,1.65,2.84,2e-07
R inferior temporal,1.64,2.89,1e-06
L lateral orbito frontal,1.67,2.68,0.0001
R lateral orbito frontal,1.89,2.64,0.0003
L middle temporal,1.65,2.91,6e-05
R middle temporal,1.83,2.95,2e-05
L para central,1.5,2.4,0.0005
R para central,1.41,2.41,7e-05
L pars opercularis,1.64,2.51,0.0002
R pars opercularis,1.49,2.46,2e-05
L pars triangularis,1.48,2.39,0.0004
R posterior cingulate,1.77,2.45,0.0007
L pre central,1.49,2.55,2e-05
R pre central,1.57,2.48,0.0001
L pre cuneus,1.53,2.41,0.0001
R pre cuneus,1.54,2.4,8e-05
L rostral middle frontal,1.58,2.42,0.0004
R rostral middle frontal,1.57,2.37,5e-05
L superior frontal,1.67,2.75,9e-05
R superior frontal,1.53,2.7,8e-06
L superior parietal,1.29,2.19,1e-05
R superior parietal,1.24,2.2,3e-05
L superior temporal,1.61,2.77,8e-06
R superior temporal,1.69,2.78,8e-06
L supra marginal,1.51,2.54,1e-05
R supra marginal,1.58,2.56,9e-05
L insula,1.9,2.95,1e-05
