Cortical region,Mean FC(mean ± std),Mean FC(mean ± std),Number of vertices,Cluster size (mm2),Maximum t‐value,"MNI (x, y, z)"
Cortical region,Non‐MetS,MetS,Number of vertices,Cluster size (mm2),Maximum t‐value,"MNI (x, y, z)"
LH,LH,LH,LH,LH,LH,LH
Superior frontal,0.31 ± 0.14,0.18 ± 0.15,"5,353","3,222.12",5.578,"−10.3, 57.4, 5.2"
Superior parietal,−0.07 ± 0.15,0.09 ± 0.13,"4,398","2,329.34",−5.501,"−16.9, 71.5, 41.4"
Postcentral,−0.16 ± 0.13,−0.03 ± 0.14,"6,182","2,656.18",−3.871,"−58, 17.7, 27.7"
RH,RH,RH,RH,RH,RH,RH
Precentral,−0.03 ± 0.042,0.01 ± 0.05,"8,416","3,897.77",−3.968,"58.6, 6, 20"
Superior temporal,−0.04 ± 0.05,−0.01 ± 0.06,"7,036","3,226.02",−3.481,"60.3, −35.1, 16.2"
Superior parietal,−0.07 ± 0.07,−0.003 ± 0.10,"4,639","2,184.63",−2.662,"9.5, −64.6, 59.3"
