Unnamed: 0_level_0,SIVD,AD,NC,Unnamed: 4_level_0
Unnamed: 0_level_1,N = 20,N = 32,N = 23,P
Age (years),75.8 (7.67),77.3 (6.40),65.1 (6.97),<0.001bc
Education (years),7.5 (2.81),8.8 (3.98),10.2 (3.32),0.029b
Duration (years),2.5 (2.05),2.9 (1.93),0.0 (0.0),<0.001bc
Gender (Male/Female),13/7,16/16,11/12,0.258–0.873
Handedness (Right/Left),19/1,31/1,23/0,0.732
Hachinski Ischemic Scale,9.1 (2.08),1.7 (1.34),0.9 (0.89),<0.001ab
Fazekas Scale Periventricular white matter hyperintensities,1.9 (0.39),0.9 (0.53),0.5 (0.59),<0.001abc
Deep white matter hyperintensities,1.9 (0.44),0.6 (0.60),0.5 (0.51),<0.001ab
Total,3.8 (0.58),1.5 (0.91),1.0 (0.92),<0.001abc
Clinical Dementia Rating_sum of box,5.1 (4.18),4.2 (2.71),0.6 (0.46),<0.001bc
The Mini-Mental State Examination,20.1 (5.88),22.6 (3.92),27.9 (1.60),<0.001bc
Cognitive Abilities Screening Instrument,62.6 (18.38),70.0 (12.37),87.7 (4.73),<0.001bc
