Study,Task,Number of participants,MNI/Talairach,Coordinates,Unnamed: 5,Unnamed: 6
"Beaty et al., ???",Divergent thinking task,25/25 (100%),MNI,8‐3660,184‐30,44‐4‐14
"Bhat et al., 2017",Resting‐state (No task),17/17 (100%),MNI,‐3833‐1724105‐4738‐2330‐5855,1418810231444444451‐42‐42,‐5‐4‐5‐42336161616132928
"Bilevicius et al., ???",Resting‐state (No task),32/32 (100%),Talairach,21‐2124‐606921‐20‐18,8‐40‐43‐16‐37‐67‐10‐49,‐3841‐20141016‐29
"Chand & Dhamala, ???",Image categorization task,26/26 (100%),Talairach,‐635‐33436‐30‐21,‐7491138‐47‐4539,‐6‐7‐81316‐1028
"Chen et al., 2016",Resting‐state (No task),78/78 (100%),MNI,Session 11155423148‐35363734‐11‐1‐2805103126‐39Session 21155423148‐35363734‐11‐1‐2805103126‐39,‐39‐450332220223216261552302322565051‐39‐450332220223216261552302322565051,503747261003‐2‐8254421273727142717503747261003‐2‐8254421273727142717
,Resting‐state (No task),64/64 (100%),MNI,‐241239‐57‐57‐6921‐2754,53‐7326‐43‐52‐521188‐31,4612849‐81340‐21025
"Doll et al., ???",Resting‐state (No task),14/14 (100%),MNI,39‐339‐6‐99334848‐45‐150‐4824,18939‐36‐21‐5751‐459‐12‐303630‐3,‐3‐615456‐30123003‐6915‐15
Elton & Gao. ???,Global‐local selective task,19/19 (100%),MNI,‐1‐4647‐24‐61‐59,‐53‐64‐5934‐35‐4,24242445‐7‐24
"Fang et al., 2016",2‐back task,255/255 (100%),Talairach,‐6‐9‐36,153347,42913
"Kolesar et al., 2007",Resting‐state (No task),26/26 (100%),Talairach,‐635‐33436‐30‐21,‐7491138‐47‐4539,‐6‐7‐81316‐1028
"Seeley et al., ???",Resting‐state (No task),14/14 (100%),MNI,42‐4052‐5206‐66‐4,10182016442218814,‐12‐12‐18‐142830305848
"Sidlauskaite et al., ???",Cued state‐switching task,18/18 (100%),MNI,6‐4‐12‐29‐363430,35243224181824,20302410‐46‐4
"Wang et al., 2016",Resting‐state (No task),35/35 (100%),MNI,2734‐251389‐36‐60‐46‐2014‐4837‐12‐121132‐3011‐3051‐45485843‐5542‐41‐59‐52,49323023212018171510666‐2‐3‐12‐12‐12‐14‐24‐28‐30‐31‐31‐40‐41‐43‐44‐46‐47‐47‐63,267278‐1342344514771‐3136621295‐4‐18502083021291115
"Haupt et al., ???",Resting‐state (No task),32/32 (100%),MNI,26,46,‐2
"Adriana et al., 2019",Resting‐state (No task),91/91 (100%),MNI,2‐50‐440‐26026,28‐6012‐1840164,22‐36‐1050406426
"Hegarty et al., ???",Isometric muscle contraction during movement tasks,20/20 (100%),MNI,‐40‐1,106,‐138
"Ding et al., ???",Resting‐state (No task),35/70 (50%),MNI,‐6,6,36
"Kolesaw et al., 2017",Resting‐state (No task),14/28 (50%),Talairach,38‐4‐52,‐5622‐52,363936
"Hernández et al., ???",Answering questions about a movie which was played in different accents,30/30 (100%),MNI,6‐3‐3‐63‐515442333957‐36‐45‐395439‐30‐246,323211‐28‐16‐40501711‐10384147‐40‐55‐70‐76‐79,1723‐1208448‐42523141444‐34‐19‐1638
"Stankewitz et al., ???",Attentional distraction from painful and nonpainful heat stimulation using a Stroop task,13/26 (50%),MNI,‐3639‐63‐3,‐9486‐45‐15‐33,63‐15‐909‐39
"Smith et al., ???",Resting‐state (No task),17/34 (50%),Talairach,‐34‐655926,31‐35‐29‐83,9912‐3
"Jarrahi & Mackey, ???","Resting‐state (No task), imagining a painful condition",15/15 (100%),MNI,‐3838‐6,61822,‐8‐832
"Bilevicius et al., ???",Resting‐state (No task),32/32 (100%),Talairach,21‐2124‐606921‐30‐18,8‐40‐43‐16‐37‐67‐10‐49,‐3841‐20141016‐29
"De Marco et al., ???",Resting‐state (No task),35/35 (100%),Talairach,263426323220,‐34‐48‐51‐40‐51‐30,555663526259
"Zhang et al., ???",Resting‐state (No task),20/20 (100%),MNI,‐9,39,‐3
"Conwell et al., ???",Resting‐state (No task),45/45 (100%),MNI,63863450342032202‐20‐22‐5656,28522618182622148‐401010‐46‐40,2818364‐12‐68‐2644864564840
"Chou et al., ???",Resting‐state (No task),18/35 (51%),MNI,‐34,14,0
"Huang et al., ???",Resting‐state (No task),38/72 (53%),MNI,3,21,24
"Jarrahi & Mantini, ???",Presentation of emotionally salient visual stimuli,33/33 (100%),MNI,63029‐34,20‐34‐621,063‐2‐6
"Pang et al., ???",Resting‐state (No task),20/20 (100%),MNI,‐42,15,9
"Qiao et al., ???",AX‐Continuous Performance Task,24/24 (100%),MNI,9‐3036‐3030,823175050,49441925
"Liu et al., ???",Resting‐state (No task),19/38 (50%),MNI,39,48,24
"Xin et al., ???",Resting‐state (No task),187/197 (95%),MNI,‐2730‐6‐3942‐3,38412620148,292929‐7‐447
"Santangelo & Bordier, ???",Woking memory task,16/16 (100%),Talairach,‐4240‐4848‐4646‐3228‐34360‐3024‐405046‐5904‐44‐4848‐2204‐44,91357‐33391313‐6‐13‐651715‐352921222515172020343215,‐17‐19‐15‐15‐13‐15‐19‐21‐16‐17‐8‐18‐17‐8‐10‐9‐73132414339‐9‐1151512024‐9
"Lin et al., ???",Resting‐state (No task),19/60 (32%),MNI,‐1557,24‐54,‐3‐18
