Unnamed: 0_level_0,Responders,Responders,Non-responders,Non-responders,z,p
Unnamed: 0_level_1,M,SD,M,SD,Unnamed: 5_level_1,Unnamed: 6_level_1
Gender (male/female),26/21,26/21,10/28,10/28,,
Handedness (right/left/both),43/2/2,43/2/2,36/1/1,36/1/1,,
School education (10 yr/ ≥ 12 yr),3/44,3/44,2/36,2/36,,
Higher education (no/university/other),2/38/7,2/38/7,2/34/2,2/34/2,,
Age,28.66,7.15,28.24,7.46,0.75,0.45
BDI-II,4.63,4.15,3.13,4.86,2.23,0.026
STAI-T,33.85,7.49,30.82,5.75,1.89,0.059
SCL-90-R Depression,1.91,3.59,1.52,3.06,1.19,0.23
SCL-90-R Anxiety,0.85,2.03,0.37,0.68,1.23,0.22
SCL-90-R Global Severity Index,0.22,0.18,0.17,0.16,1.05,0.29
NEO-FFI Neuroticism,15.07,6.01,13.05,6.13,1.28,0.2
LEC,5.17,3.68,5.16,4.01,0.21,0.84
CTQ,30.91,4.52,30.27,4.83,1.00,0.32
VLMT (hits early recall),64.04,5.93,68.13,4.82,−3.39,0.001
VLMT (hits delayed recall),13.72,1.73,13.79,2.43,−0.89,0.37
VLMT (recognition),14.68,0.70,14.79,0.53,−0.68,0.5
MWT-B,31.36,2.37,31.50,2.44,−0.07,0.95
Baseline cortisol (nmol/L),8.38,3.66,8.77,4.09,−0.29,0.77
