Characteristic,Resting state fMRI,Resting state fMRI.1,Cue-induced craving fMRI,Cue-induced craving fMRI.1
N,60,60,48,48
Sex,32 M/28 F,32 M/28 F,24 M/24 F,24 M/24 F
Ethnicity,,,,
Not Hispanic or Latino,80.0%,80.0%,79.2%,79.2%
Hispanic or Latino,15.0%,15.0%,18.8%,18.8%
Unknown,5.0%,5.0%,2.1%,2.1%
Race,,,,
White,53.3%,53.3%,54.2%,54.2%
Black/African,23.3%,23.3%,25.0%,25.0%
Mixed,6.7%,6.7%,4.2%,4.2%
Hawaiian/Pacific Islander,3.3%,3.3%,4.2%,4.2%
Asian,1.7%,1.7%,2.1%,2.1%
Unknown,11.7%,11.7%,10.4%,10.4%
,Mean (range),SD,Mean (range),SD
Age (years),32.8,7.1,32.9,7.3
Nicotine dependence (FTNDa),4.1 (0–9),2.1,4.1 (0–9),2.2
Tobacco/current use (cigarettes/day),11.7,5.1,11.4,4.9
Tobacco/lifetime exposure (pack-years),8.2,6.1,7.8,5.8
Alcohol consumption,,,,
N with >0 drinks/week (drinks/week),(N = 14) 5.8,2.5,(N = 12) 5.7,2.7
Cannabis consumption,,,,
N with >0 gram/week (grams/week),(N = 19) 4.4,4.6,(N = 15) 4.3,5.1
Craving ratings during cue presentationb,Craving ratings during cue presentationb,Craving ratings during cue presentationb,,
Smoking cues,,,4.9,1.8
Neutral cues,,,4.0,1.7
