Seed,Connectivity target/activation clustera,Laterality,Clustervolume(voxels),Z (max)b,Xc,Yc,Zc
Correlation of FTND with resting state functional connectivity of insular subregions,Correlation of FTND with resting state functional connectivity of insular subregions,Correlation of FTND with resting state functional connectivity of insular subregions,Correlation of FTND with resting state functional connectivity of insular subregions,Correlation of FTND with resting state functional connectivity of insular subregions,Correlation of FTND with resting state functional connectivity of insular subregions,Correlation of FTND with resting state functional connectivity of insular subregions,Correlation of FTND with resting state functional connectivity of insular subregions
Left dorsal anterior insula,Left dorsal anterior insula,,,,,,
Superior parietal lobule/Precuneus,Superior parietal lobule/Precuneus,L,133,4.91,−10,−72,50
Postcentral sulcus,Postcentral sulcus,L,80,4.22,−40,−34,46
Right dorsal anterior insula,Right dorsal anterior insula,,,,,,
Superior parietal lobule,Superior parietal lobule,R,236,4.19,22,−50,66
Superior parietal lobule (Precuneus),Superior parietal lobule (Precuneus),L,141,5.34,−10,−72,50
Superior parietal lobule,Superior parietal lobule,L,129,4.33,−28,−46,66
Superior parietal lobule (Precuneus),Superior parietal lobule (Precuneus),R,107,4.59,6,−58,62
Precentral gyrus,Precentral gyrus,R,73,4.66,20,−12,68
Left ventral anterior insula,Left ventral anterior insula,,,,,,
Precentral gyrus,Precentral gyrus,L,171,4.48,−52,4,44
Superior parietal lobule (Intraparietal sulcus/Precuneus),Superior parietal lobule (Intraparietal sulcus/Precuneus),L,170,4.61,−14,−68,52
Superior parietal lobule,Superior parietal lobule,R,143,4.35,28,−50,70
Right ventral anterior insula,Right ventral anterior insula,,,,,,
Superior parietal lobule,Superior parietal lobule,R,113,4.35,28,−50,70
Correlation of FTND with cue-induced fMRI activation (smoking cues vs. neutral cues),Correlation of FTND with cue-induced fMRI activation (smoking cues vs. neutral cues),Correlation of FTND with cue-induced fMRI activation (smoking cues vs. neutral cues),Correlation of FTND with cue-induced fMRI activation (smoking cues vs. neutral cues),Correlation of FTND with cue-induced fMRI activation (smoking cues vs. neutral cues),Correlation of FTND with cue-induced fMRI activation (smoking cues vs. neutral cues),Correlation of FTND with cue-induced fMRI activation (smoking cues vs. neutral cues),Correlation of FTND with cue-induced fMRI activation (smoking cues vs. neutral cues)
Middle frontal gyrus,Middle frontal gyrus,L,115,4.5,−28,38,18
