Corrected p,k,Regions of maxima peak,BA,T,H,MNI,MNI,MNI
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,x,y,z
Interaction (late FP – mid-LP) - (sooner – delayed),Interaction (late FP – mid-LP) - (sooner – delayed),Interaction (late FP – mid-LP) - (sooner – delayed),Interaction (late FP – mid-LP) - (sooner – delayed),Interaction (late FP – mid-LP) - (sooner – delayed),Interaction (late FP – mid-LP) - (sooner – delayed),Interaction (late FP – mid-LP) - (sooner – delayed),Interaction (late FP – mid-LP) - (sooner – delayed),Interaction (late FP – mid-LP) - (sooner – delayed)
<0.001,317,Caudate nucleus,,5.77,R,21,24,9
,,Putamen,11,4.33,L,−15,15,−6
,,Caudate nucleus,25,4.15,L,−6,12,5
<0.001,255,Calcarine gyrus,18,4.94,L,−3,−84,12
,,Middle occipital gyrus,18,4.52,L,−18,−102,5
,,Superior occipital gyrus,17,4.42,L,−9,−102,9
,,Lingual gyrus,18,4.28,R,12,−84,−9
,,Cuneus,18,4.02,R,12,−99,12
0.005,126,Hippocampus,20,4.86,L,−33,−9,−16
,,Inferior temporal gyrus,20,4.82,L,−45,−9,−27
,,Insula,48,3.44,L,−36,−9,−6
0.017,94,Cerebellum,37,4.79,L,30,−39,−23
0.018,92,Putamen,48,3.61,L,−21,6,−6
0.035,77,Postcentral gyrus,48,4.22,L,−60,−15,23
,,Precentral gyrus,6,3.83,L,−60,3,30
Main effect of menstrual cycle phase (mid-LP – late FP),Main effect of menstrual cycle phase (mid-LP – late FP),Main effect of menstrual cycle phase (mid-LP – late FP),Main effect of menstrual cycle phase (mid-LP – late FP),Main effect of menstrual cycle phase (mid-LP – late FP),Main effect of menstrual cycle phase (mid-LP – late FP),Main effect of menstrual cycle phase (mid-LP – late FP),Main effect of menstrual cycle phase (mid-LP – late FP),Main effect of menstrual cycle phase (mid-LP – late FP)
<0.001,911,Lingual gyrus,18,6.16,L,−12,−96,−13
,,Inferior occipital gyrus,19,5.25,L,−36,−90,−13
,,Calcarine gyrus,18,5.13,L,0,−99,9
,,Middle occipital gyrus,17,5.09,L,−12,−99,5
,,Inferior temporal gyrus,37,4.30,L,−45,−61,−8
0.032,79,Cerebellum,,4.94,L,−6,−78,−37
0.034,61,Precentral gyrus,6,5.05,L,−51,−3,51
Main effect of delay decision (sooner - delayed),Main effect of delay decision (sooner - delayed),Main effect of delay decision (sooner - delayed),Main effect of delay decision (sooner - delayed),Main effect of delay decision (sooner - delayed),Main effect of delay decision (sooner - delayed),Main effect of delay decision (sooner - delayed),Main effect of delay decision (sooner - delayed),Main effect of delay decision (sooner - delayed)
<0.001,1233,Precentral gyrus,4,10.68,R,36,−21,54
,,Supplementary motor area,6,5.77,R,6,0,47
,,Superior parietal lobule,5,5.24,R,15,−51,65
<0.001,704,Cerebellum,37,8.04,L,−21,−45,−27
,,Lingual gyrus,18,3.93,L,−18,−72,−6
<0.001,304,Rolandic operculum,48,5.64,R,48,−18,19
,,Thalamus,,5.12,R,18,−21,9
,,Putamen,48,4.11,R,30,−12,2
Main effect of delay decision (delayed - sooner),Main effect of delay decision (delayed - sooner),Main effect of delay decision (delayed - sooner),Main effect of delay decision (delayed - sooner),Main effect of delay decision (delayed - sooner),Main effect of delay decision (delayed - sooner),Main effect of delay decision (delayed - sooner),Main effect of delay decision (delayed - sooner),Main effect of delay decision (delayed - sooner)
<0.001,709,Postcentral gyrus,4,10.72,L,−42,−27,65
,,Superior parietal lobule,7,4.82,L,−24,−42,72
0.027,62,Cerebellum,19,6.08,R,15,−51,−16
