Combination,ŵC,ŵMCI,ŵAD
Ward corr,0.328 ± 0.021,0.337 ± 0.04,0.315 ± 0.023
RGS corr,0.405 ± 0.076,0.363 ± 0.049,0.397 ± 0.113
atlas corr,0.319 ± 0.02,0.334 ± 0.054,0.307 ± 0.022
Ward H2,0.443 ± 0.18,0.398 ± 0.081,0.414 ± 0.057
RGS H2,0.452 ± 0.1,0.471 ± 0.126,0.493 ± 0.179
atlas H2,0.36 ± 0.057,0.352 ± 0.039,0.355 ± 0.042
Ward MIT,0.201 ± 0.004,0.2 ± 0.007,0.197 ± 0.004
RGS MIT,0.221 ± 0.026,0.204 ± 0.011,0.218 ± 0.037
atlas MIT,0.196 ± 0.003,0.197 ± 0.008,0.193 ± 0.003
Ward TE,0.163 ± 0.013,0.158 ± 0.015,0.156 ± 0.018
RGS TE,0.158 ± 0.026,0.149 ± 0.02,0.152 ± 0.042
atlas TE,0.163 ± 0.016,0.17 ± 0.011,0.165 ± 0.011
