Behaviour assessment,Correlation between behaviour assessment and smoking,Correlation between behaviour assessment and smoking.1,Correlation between behaviour assessment and drinking,Correlation between behaviour assessment and drinking.1,Canonical correlation between behaviour assessment and FCs associated with smoking,Canonical correlation between behaviour assessment and FCs associated with smoking.1,Canonical correlation between behaviour assessment and FCs associated with drinking,Canonical correlation between behaviour assessment and FCs associated with drinking.1
Behaviour assessment,r value,p value,r value,p value,r value,p value,r value,p value
DDisc_AUC_200,-0.120,5.85E-04,-0.122,6.50E-04,0.643,4.99E-03,0.588,1.59E-03
DDisc_AUC_40K,-0.088,1.15E-02,-0.033,3.59E-01,0.610,1.85E-01,0.579,5.42E-03
PicSeq_Unadj,0.051,1.42E-01,0.020,5.86E-01,0.614,1.27E-01,0.527,4.53E-01
PicSeq_AgeAdj,0.048,1.69E-01,0.019,5.89E-01,0.617,1.02E-01,0.524,5.21E-01
CardSort_Unadj,0.017,6.20E-01,0.055,1.29E-01,0.596,4.22E-01,0.554,8.93E-02
CardSort_AgeAdj,0.016,6.51E-01,0.059,1.01E-01,0.599,3.62E-01,0.559,6.00E-02
Flanker_Unadj,-0.013,7.20E-01,-0.003,9.40E-01,0.613,1.38E-01,0.539,2.59E-01
Flanker_AgeAdj,-0.004,9.16E-01,-0.004,9.16E-01,0.613,1.40E-01,0.549,1.28E-01
PMAT24_A_CR,-0.009,7.89E-01,0.000,9.98E-01,0.613,1.42E-01,0.558,6.52E-02
PMAT24_A_SI,0.002,9.51E-01,-0.031,3.86E-01,0.607,2.30E-01,0.550,1.27E-01
PMAT24_A_RTCR,0.016,6.49E-01,0.009,8.07E-01,0.596,4.16E-01,0.554,9.24E-02
ReadEng_Unadj,-0.046,1.86E-01,-0.062,8.54E-02,0.657,4.15E-04,0.592,7.68E-04
ReadEng_AgeAdj,-0.043,2.18E-01,-0.053,1.43E-01,0.662,1.67E-04,0.589,1.17E-03
PicVocab_Unadj,-0.072,3.96E-02,-0.105,3.58E-03,0.640,7.54E-03,0.610,2.45E-05
PicVocab_AgeAdj,-0.068,5.10E-02,-0.105,3.48E-03,0.644,4.01E-03,0.614,1.01E-05
ProcSpeed_Unadj,0.039,2.61E-01,0.015,6.86E-01,0.600,3.30E-01,0.532,3.63E-01
ProcSpeed_AgeAdj,0.042,2.24E-01,0.013,7.21E-01,0.603,2.89E-01,0.532,3.65E-01
DDisc_SV_1mo_200,-0.140,6.08E-05,-0.026,4.70E-01,0.626,4.23E-02,0.558,6.18E-02
DDisc_SV_6mo_200,-0.138,7.23E-05,-0.084,1.89E-02,0.639,8.58E-03,0.567,2.43E-02
DDisc_SV_1yr_200,-0.095,6.39E-03,-0.100,5.28E-03,0.633,1.90E-02,0.614,1.17E-05
DDisc_SV_3yr_200,-0.133,1.36E-04,-0.134,1.83E-04,0.649,2.02E-03,0.580,5.32E-03
DDisc_SV_5yr_200,-0.105,2.52E-03,-0.119,9.57E-04,0.631,2.37E-02,0.571,1.66E-02
DDisc_SV_10yr_200,-0.069,4.72E-02,-0.085,1.85E-02,0.642,5.90E-03,0.572,1.43E-02
DDisc_SV_1mo_40K,-0.077,2.80E-02,0.008,8.19E-01,0.610,1.85E-01,0.532,3.75E-01
DDisc_SV_6mo_40K,-0.047,1.81E-01,0.004,9.08E-01,0.622,6.84E-02,0.597,3.63E-04
DDisc_SV_1yr_40K,-0.044,2.13E-01,0.027,4.61E-01,0.653,9.85E-04,0.597,3.38E-04
DDisc_SV_3yr_40K,-0.060,8.82E-02,-0.050,1.68E-01,0.615,1.21E-01,0.586,2.19E-03
DDisc_SV_5yr_40K,-0.101,3.68E-03,-0.036,3.13E-01,0.594,4.62E-01,0.562,4.15E-02
DDisc_SV_10yr_40K,-0.084,1.67E-02,-0.040,2.71E-01,0.596,4.15E-01,0.556,7.67E-02
VSPLOT_TC,0.020,5.71E-01,0.009,7.97E-01,0.619,9.19E-02,0.560,4.95E-02
VSPLOT_CRTE,0.006,8.68E-01,-0.053,1.42E-01,0.608,2.07E-01,0.539,2.59E-01
VSPLOT_OFF,-0.035,3.18E-01,-0.042,2.47E-01,0.625,4.67E-02,0.560,5.35E-02
SCPT_TP,-0.005,8.87E-01,0.038,2.96E-01,0.682,1.68E-06,0.588,1.63E-03
SCPT_TN,-0.027,4.48E-01,-0.035,3.34E-01,0.602,3.04E-01,0.533,3.62E-01
SCPT_FP,0.027,4.48E-01,0.035,3.34E-01,0.602,3.04E-01,0.533,3.62E-01
SCPT_FN,0.005,8.87E-01,-0.038,2.96E-01,0.682,1.68E-06,0.588,1.63E-03
SCPT_TPRT,-0.003,9.30E-01,-0.066,6.77E-02,0.600,3.62E-01,0.492,9.38E-01
SCPT_SEN,-0.005,8.87E-01,0.038,2.96E-01,0.682,1.67E-06,0.588,1.63E-03
SCPT_SPEC,-0.027,4.48E-01,-0.035,3.34E-01,0.602,3.04E-01,0.533,3.63E-01
SCPT_LRNR,0.026,4.60E-01,-0.035,3.28E-01,0.724,1.61E-12,0.651,5.41E-10
IWRD_TOT,-0.004,9.17E-01,-0.011,7.55E-01,0.624,5.38E-02,0.518,6.28E-01
IWRD_RTC,0.047,1.83E-01,0.062,8.34E-02,0.599,3.57E-01,0.543,2.09E-01
ListSort_Unadj,0.045,1.98E-01,-0.026,4.78E-01,0.605,2.46E-01,0.510,7.55E-01
ListSort_AgeAdj,0.042,2.27E-01,-0.026,4.67E-01,0.602,3.00E-01,0.519,6.13E-01
ER40_CR,0.024,4.87E-01,-0.006,8.58E-01,0.602,3.08E-01,0.544,1.87E-01
ER40_CRT,0.023,5.18E-01,-0.004,9.16E-01,0.612,1.61E-01,0.583,3.28E-03
ER40ANG,-0.004,9.16E-01,0.022,5.44E-01,0.596,4.15E-01,0.504,8.39E-01
ER40FEAR,0.052,1.35E-01,0.065,7.24E-02,0.559,9.44E-01,0.524,5.27E-01
ER40HAP,-0.038,2.71E-01,-0.064,7.63E-02,0.582,6.92E-01,0.535,3.19E-01
ER40NOE,-0.041,2.45E-01,-0.028,4.37E-01,0.629,3.14E-02,0.533,3.66E-01
ER40SAD,0.056,1.12E-01,-0.053,1.40E-01,0.607,2.34E-01,0.531,3.98E-01
AngAffect_Unadj,0.090,1.00E-02,0.043,2.38E-01,0.649,1.86E-03,0.510,7.54E-01
AngHostil_Unadj,0.025,4.66E-01,0.041,2.60E-01,0.629,3.24E-02,0.544,1.95E-01
AngAggr_Unadj,0.129,2.12E-04,0.119,9.23E-04,0.598,3.78E-01,0.522,5.53E-01
FearAffect_Unadj,0.060,8.66E-02,0.039,2.74E-01,0.610,1.90E-01,0.532,3.83E-01
FearSomat_Unadj,0.070,4.64E-02,0.036,3.21E-01,0.618,9.77E-02,0.578,6.20E-03
Sadness_Unadj,0.033,3.44E-01,-0.050,1.67E-01,0.630,2.98E-02,0.530,4.12E-01
LifeSatisf_Unadj,-0.067,5.50E-02,-0.048,1.85E-01,0.624,5.37E-02,0.511,7.40E-01
MeanPurp_Unadj,-0.074,3.47E-02,-0.101,5.05E-03,0.614,1.37E-01,0.554,8.60E-02
PosAffect_Unadj,-0.029,4.13E-01,-0.046,1.98E-01,0.594,4.53E-01,0.522,5.65E-01
Friendship_Unadj,-0.032,3.61E-01,0.162,6.32E-06,0.601,3.26E-01,0.544,1.94E-01
Loneliness_Unadj,0.026,4.52E-01,-0.030,4.03E-01,0.625,4.88E-02,0.542,2.21E-01
PercHostil_Unadj,0.037,2.87E-01,-0.017,6.40E-01,0.643,5.17E-03,0.558,6.51E-02
PercReject_Unadj,0.112,1.28E-03,-0.003,9.28E-01,0.625,4.88E-02,0.517,6.50E-01
EmotSupp_Unadj,-0.063,7.09E-02,0.010,7.76E-01,0.603,2.87E-01,0.507,7.94E-01
InstruSupp_Unadj,-0.030,3.92E-01,-0.011,7.62E-01,0.617,1.02E-01,0.470,9.94E-01
PercStress_Unadj,0.059,9.25E-02,0.026,4.75E-01,0.637,1.12E-02,0.526,4.88E-01
SelfEff_Unadj,0.003,9.23E-01,0.004,9.13E-01,0.629,3.16E-02,0.563,3.95E-02
