Smoking,Smoking,Smoking,Smoking,Smoking,Smoking,Smoking,Smoking
Functional connectivity,Functional connectivity.1,p value,t value,Functional connectivity.2,Functional connectivity.3,p value.1,t value.1
Frontal_Sup_2_L,OFCmed_R,9.63E-06,-4.464,Frontal_Inf_Orb_2_L,Rolandic_Oper_R,6.60E-05,-4.019
Frontal_Sup_2_L,Frontal_Mid_2_R,1.23E-05,-4.409,Parietal_Sup_R,Precuneus_L,6.74E-05,-4.014
Frontal_Sup_2_L,Frontal_Inf_Oper_R,1.57E-05,-4.354,Frontal_Sup_2_L,Parietal_Sup_R,7.11E-05,-4.001
Frontal_Inf_Orb_2_L,Temporal_Sup_R,1.85E-05,-4.317,Frontal_Inf_Orb_2_L,Occipital_Mid_R,7.60E-05,-3.984
Frontal_Inf_Orb_2_L,SupraMarginal_R,2.02E-05,-4.297,Frontal_Sup_2_R,Frontal_Inf_Oper_R,7.75E-05,-3.980
Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,2.26E-05,-4.271,Frontal_Inf_Orb_2_L,Insula_R,7.95E-05,-3.973
Caudate_L,Pallidum_L,2.42E-05,-4.255,Caudate_R,Putamen_R,7.99E-05,-3.972
Caudate_L,Putamen_L,2.87E-05,-4.216,Frontal_Mid_2_L,Frontal_Inf_Oper_R,8.07E-05,-3.970
Hippocampus_L,Temporal_Sup_L,3.37E-05,-4.179,Frontal_Inf_Orb_2_R,Parietal_Sup_L,8.59E-05,-3.955
Frontal_Inf_Orb_2_L,Parietal_Sup_R,3.78E-05,-4.152,Amygdala_R,Temporal_Sup_R,8.94E-05,-3.945
Frontal_Med_Orb_R,Parietal_Sup_R,3.86E-05,-4.147,Frontal_Inf_Oper_L,OFClat_R,9.31E-05,-3.935
Frontal_Inf_Orb_2_L,Temporal_Sup_L,4.59E-05,-4.106,Frontal_Inf_Orb_2_L,Rolandic_Oper_L,9.37E-05,-3.933
Frontal_Inf_Tri_L,SupraMarginal_R,4.90E-05,-4.090,Frontal_Inf_Tri_L,Precuneus_R,9.54E-05,-3.929
OFCmed_R,Parietal_Sup_R,5.11E-05,-4.080,Frontal_Inf_Oper_L,Cingulate_Ant_R,1.01E-04,-3.914
Frontal_Inf_Orb_2_L,Amygdala_R,5.41E-05,-4.067,Frontal_Sup_2_R,Frontal_Mid_2_R,1.02E-04,-3.912
Drinking,Drinking,Drinking,Drinking,Drinking,Drinking,Drinking,Drinking
Functional connectivity,Functional connectivity,p value,t value,Functional connectivity,Functional connectivity,p value,t value
Precentral_L,OFCmed_L,6.02E-04,3.445,Cingulate_Ant_L,Postcentral_L,3.42E-04,3.598
Precentral_R,OFCmed_L,2.41E-04,3.689,Cingulate_Mid_L,Postcentral_L,1.86E-04,3.756
Rolandic_Oper_R,OFCmed_L,1.28E-04,3.851,OFCmed_L,Postcentral_R,4.73E-04,3.511
Olfactory_L,OFCmed_L,4.35E-05,4.112,Cingulate_Ant_L,Postcentral_R,2.72E-04,3.658
Rectus_R,OFCmed_L,3.25E-04,3.611,Cingulate_Mid_L,Postcentral_R,1.94E-04,3.745
Frontal_Mid_2_R,OFCmed_R,6.10E-04,3.442,Cingulate_Ant_L,SupraMarginal_R,5.47E-04,3.472
OFCmed_L,OFCpost_L,4.25E-04,3.540,OFCmed_L,Heschl_L,1.36E-04,3.834
Precentral_L,Cingulate_Ant_L,4.52E-04,3.523,Cingulate_Ant_L,Heschl_L,1.55E-04,3.803
Precentral_R,Cingulate_Ant_L,2.50E-04,3.680,Cingulate_Mid_L,Heschl_L,5.02E-04,3.495
Rolandic_Oper_L,Cingulate_Ant_L,4.44E-04,3.528,Cingulate_Mid_R,Heschl_L,4.19E-04,3.544
Rolandic_Oper_R,Cingulate_Ant_L,1.45E-04,3.819,SupraMarginal_R,Heschl_L,2.68E-04,3.661
Insula_R,Cingulate_Ant_L,5.27E-04,3.481,SupraMarginal_R,Heschl_R,3.72E-04,3.575
Rolandic_Oper_R,Cingulate_Ant_R,5.22E-04,3.484,Cingulate_Ant_L,Temporal_Sup_L,1.49E-04,3.812
OFCmed_L,Cingulate_Ant_R,5.34E-04,3.478,Cingulate_Ant_R,Temporal_Sup_L,5.61E-04,3.464
Precentral_R,Cingulate_Mid_L,5.75E-04,3.458,Cingulate_Mid_R,Temporal_Sup_L,4.55E-04,3.521
