Basic information,Basic information,Basic information,Basic information,Basic information,Basic information,Basic information,Basic information
Age (year),Gender (Male/Female),Handedness,Race (White/Others),Education (years),BMI,Head motion,BPDiastolic
28.781±3.696,368/463,65.842±43.911,617/214,14.917±1.798,26.513±5.238,0.352±0.135,76.641±10.512
BPSystolic,Total gray matter volume,Total gray matter volume,DDisc_AUC_200,DDisc_AUC_40K,Total white matter volume,Total white matter volume,
123.702±14.013,684867.9±65398.2,684867.9±65398.2,0.254±0.201,0.499±0.287,444066.8±55413.1,444066.8±55413.1,
Smoking information,Smoking information,Smoking information,Smoking information,Smoking information,Smoking information,Smoking information,Smoking information
SSAGA_TB_Smoking_History,SSAGA_TB_Yrs_Smoked,SSAGA_TB_Yrs_Smoked,SSAGA_FTND_Score,SSAGA_HSI_Score,SSAGA_TB_ Age_1 st_Cig,SSAGA_TB_Reg_CPD,SSAGA_TB_Hvy_CPD
461/370,13.834±4.006,13.83±4.01,2.063±1.871,1.571±1.369,16.337±2.303,10.098±6.163,12.439±7.253
Drinking information,Drinking information,Drinking information,Drinking information,Drinking information,Drinking information,Drinking information,Drinking information
SSAGA_Alc_12_Drinks_Per_Day,SSAGA_Alc_12_Frq,SSAGA_Alc_12_Frq_Drk,SSAGA_Alc_12_Max_Drinks,SSAGA_Alc_Hvy_Frq,SSAGA_Alc_D4_Dp_Sx,SSAGA_Alc_D4_Ab_Dx,SSAGA_Alc_Hvy_ Drinks_Per_Day
2.271±1.580,4.351±1.530,3.114±0.863,2.830±1.817,3.438±1.777,0.518±0.799,1.593±1.422,3.367±1.745
Marijuana Use information,Marijuana Use information,Marijuana Use information,Marijuana Use information,Marijuana Use information,Marijuana Use information,Marijuana Use information,Marijuana Use information
SSAGA_Mj_Use (No/Yes),SSAGA_Mj_Ab_Dep (No/Yes),SSAGA_Mj_Age_1 st_Use,SSAGA_Mj_Times_Used,,,,
379/452,750/81,2.612 ± 0.935,1.398 ± 1.693,,,,
The comparison of demographic characteristics of different sub-groups,The comparison of demographic characteristics of different sub-groups,The comparison of demographic characteristics of different sub-groups,The comparison of demographic characteristics of different sub-groups,The comparison of demographic characteristics of different sub-groups,The comparison of demographic characteristics of different sub-groups,The comparison of demographic characteristics of different sub-groups,The comparison of demographic characteristics of different sub-groups
,Non-smoker,Regular Smoker,Statistic*/p value,Low Drinker,High Drinker,Statistic*/p value,
Number of participants,417,203,/,311,470,/,
Age,28.50 ± 3.70,29.62 ± 3.58,−3.57/0.0004,29.28 ± 3.63,28.49 ± 3.70,2.94/0.0034,
Gender (male/female),162/255,105/98,9.23/0.0024,97/214,249/221,36.01 / < 0.0001,
Handedness,67.42 ± 41.64,64.19 ± 45.92,0.88/0.381,67.77 ± 43.86,64.34 ± 44.26,1.06/0.288,
Race (white/others),301/116,163/40,4.77/0.029,219/92,369/101,6.59/0.010,
SSAGA_Educ,15.23 ± 1.66,14.15 ± 1.91,7.21 / < 0.0001,15.17 ± 1.74,14.79 ± 1.83,2.91/0.004,
BMI,26.65 ± 5.46,26.57 ± 4.73,0.19/0.852,26.19 ± 5.54,26.77 ± 4.92,−1.52/0.129,
Head Motion,0.087 ± 0.031,0.095 ± 0.038,−2.63/0.009,0.085 ± 0.032,0.090 ± 0.033,−1.09/0.057,
BPDiastolic,76.42 ± 10.20,77.14 ± 10.42,−0.82/0.410,75.45 ± 10.62,77.61 ± 10.15,−2.86/0.004,
BPSystolic,122.8 ± 13.88,125.5 ± 13.86,−2.26/0.024,121.9 ± 13.34,125.2 ± 13.99,−3.33/0.0009,
DDisc_AUC_200,0.264 ± 0.199,0.202 ± 0.166,3.83/0.0001,0.274 ± 0.210,0.232 ± 0.186,2.90/0.0039,
DDisc_AUC_40K,0.510 ± 0.286,0.438 ± 0.278,2.95/0.0033,0.516 ± 0.291,0.480 ± 0.280,1.75/0.081,
SSAGA_TB_Smoking_History (never/used),417,203,/,113/98,251/219,21.91 / < 0.0001,
SSAGA_TB_Yrs_Smoked,/,13.87 ± 3.98,/,13.20 ± 4.70,14.15 ± 3.61,−1.56/0.119,
SSAGA_Alc_12_Drinks_Per_Day,1.978 ± 1.478,2.842 ± 1.756,−6.41 / < 0.0001,0.823 ± 0.382,3.223 ± 1.320,−31.2 / < 0.0001,
SSAGA_Alc_12_Frq,4.717 ± 1.356,3.980 ± 1.668,5.88 / < 0.0001,5.03 ± 1.29,3.91 ± 1.51,10.73 / < 0.0001,
SSAGA_Mj_Use (never/used),256/161,29/74,122.0 / < 0.0001,173/138,162/308,34.21 / < 0.0001,
SSAGA_Mj_Times_Used,0.779 ± 1.273,2.783 ± 1.800,−15.97 / < 0.0001,1.016 ± 1.458,1.777 ± 1.791,−6.245 / < 0.0001,
