Index,Region of Interest,Index.1,Region of Interest.1,Index.2,Region of Interest.2
1,Precentral_L,40,ParaHippocampal_R,79.0,Heschl_L
2,Precentral_R,41,Amygdala_L,80.0,Heschl_R
3,Frontal_Sup_L,42,Amygdala_R,81.0,Temporal_Sup_L
4,Frontal_Sup_R,43,Calcarine_L,82.0,Temporal_Sup_R
5,Frontal_Sup_Orb_L,44,Calcarine_R,83.0,Temporal_Pole_Sup_L
6,Frontal_Sup_Orb_R,45,Cuneus_L,84.0,Temporal_Pole_Sup_R
7,Frontal_Mid_L,46,Cuneus_R,85.0,Temporal_Mid_L
8,Frontal_Mid_R,47,Lingual_L,86.0,Temporal_Mid_R
9,Frontal_Mid_Orb_L,48,Lingual_R,87.0,Temporal_Pole_Mid_L
10,Frontal_Mid_Orb_R,49,Occipital_Sup_L,88.0,Temporal_Pole_Mid_R
11,Frontal_Inf_Oper_L,50,Occipital_Sup_R,89.0,Temporal_Inf_L
12,Frontal_Inf_Oper_R,51,Occipital_Mid_L,90.0,Temporal_Inf_R
13,Frontal_Inf_Tri_L,52,Occipital_Mid_R,91.0,Cerebellum_Crus1_L
14,Frontal_Inf_Tri_R,53,Occipital_Inf_L,92.0,Cerebellum_Crus1_R
15,Frontal_Inf_Orb_L,54,Occipital_Inf_R,93.0,Cerebellum_Crus2_L
16,Frontal_Inf_Orb_R,55,Fusiform_L,94.0,Cerebellum_Crus2_R
17,Rolandic_Oper_L,56,Fusiform_R,95.0,Cerebellum_3_L
18,Rolandic_Oper_R,57,Postcentral_L,96.0,Cerebellum_3_R
19,Supp_Motor_Area_L,58,Postcentral_R,97.0,Cerebellum_4_5_L
20,Supp_Motor_Area_R,59,Parietal_Sup_L,98.0,Cerebellum_4_5_R
21,Olfactory_L,60,Parietal_Sup_R,99.0,Cerebellum_6_L
22,Olfactory_R,61,Parietal_Inf_L,100.0,Cerebellum_6_R
23,Frontal_Sup_Medial_L,62,Parietal_Inf_R,101.0,Cerebellum_7b_L
24,Frontal_Sup_Medial_R,63,SupraMarginal_L,102.0,Cerebellum_7b_R
25,Frontal_Med_Orb_L,64,SupraMarginal_R,103.0,Cerebellum_8_L
26,Frontal_Med_Orb_R,65,Angular_L,104.0,Cerebellum_8_R
27,Rectus_L,66,Angular_R,105.0,Cerebellum_9_L
28,Rectus_R,67,Precuneus_L,106.0,Cerebellum_9_R
29,Insula_L,68,Precuneus_R,107.0,Cerebellum_10_L
30,Insula_R,69,Paracentral_Lobule_L,108.0,Cerebellum_10_R
31,Cingulum_Ant_L,70,Paracentral_Lobule_R,109.0,Vermis_1_2
32,Cingulum_Ant_R,71,Caudate_L,110.0,Vermis_3
33,Cingulum_Mid_L,72,Caudate_R,111.0,Vermis_4_5
34,Cingulum_Mid_R,73,Putamen_L,112.0,Vermis_6
35,Cingulum_Post_L,74,Putamen_R,113.0,Vermis_7
36,Cingulum_Post_R,75,Pallidum_L,114.0,Vermis_8
37,Hippocampus_L,76,Pallidum_R,115.0,Vermis_9
38,Hippocampus_R,77,Thalamus_L,116.0,Vermis_10
39,ParaHippocampal_L,78,Thalamus_R,,
