Unnamed: 0_level_0,Structural MRI,Structural MRI,rsfMRI,rsfMRI,EN-back fMRI,EN-back fMRI,MID,MID,SST,SST
Variable,Mean (SD),Range,Mean (SD),Range,Mean (SD),Range,Mean SD,Range,Mean SD,Range
Age,119.1 (7.5),107−132,119.5 (7.6),107−132,119.5 (7.6),107−132,119.3 (7.6),107−132,119.4 (7.6),107−132
Puberty,1.9 (0.8),1−5,1.9 (0.8),1−5,1.9 (0.8),1−5,1.9 (0.8),1−5,1.9 (0.8),1−5
BMI,19.1 (4.0),13.8 - 53.9,18.8 (3.8),13.8 - 52.8,19.0 (3.9),13.8 - 53.9,18.9 (3.9),13.8 - 53.9,19.0 (3.9),13.8–42.8
BMI z-score,0.6 (1.0),−1.6 - 3.1,0.5 (1.0),−1.6 - 3.1,0.5 (1.0),−1.6 - 3.1,0.5 (1.0),1.6 - 3.1,0.5 (1.0),−1.6 – 2.8
BMI percentile,64.7 (28.0),5 - 99.9,62.7 (28.0),5.0–99.9,63.2 (28.2),5.0–99.9,63.6 (28.2),5.0–99.9,64.3 (28.3),5.0–99.8
Weight (kg),38.2 (10.3),21.3–97.1,37.8 (9.9),21.3 - 93.9,38.0 (10.1),21.3–97.1,38.0 (10.2),21.3 - 93.9,38.0 (10.1),21.3–97.1
Height (cm),140.8 (8.0),88.1 - 177.8,141.0 (7.9),93.0 - 177.8,140.9 (8.0),93.0 - 167.0,140.8 (8.0),93.0 - 172.7,140.9 (7.8),96.5–167.0
,,,,,,,,,,
,n,%,n,%,n,%,n,%,n,%
Sex,,,,,,,,,,
Male,3358,49.0,2233,46.0,2100,47.2,2216,47.1,1864,46.6
Female,3493,51.0,2623,54.0,2353,52.8,2491,52.9,2136,53.4
,,,,,,,,,,
Race,,,,,,,,,,
White,3770,55.0,2718,56.0,2571,57.7,2638,56.0,2332,58.3
Black,844,12.3,593,12.2,473,10.6,534,11.3,431,10.8
Hispanic,1430,20.9,964,19.9,897,20.1,981,20.8,790,19.8
Asian,147,2.1,97,2.0,94,2.1,99,2.1,86,2.2
Other,660,9.6,484,10.0,418,9.4,455,9.7,361,9.1
,,,,,,,,,,
Education,,,,,,,,,,
<HS,282,4.1,162,3.3,122,2.7,1143,24.3,121,3.1
HS/GED,565,8.2,373,7.7,314,7.1,1295,27.5,298,7.5
Some college,1680,24.5,1198,24.7,1087,24.4,1750,37.2,941,23.5
Bachelor's Degree,1820,26.6,1331,27.4,1248,28,149,3.2,1114,27.9
Postgraduate,2504,36.5,1792,36.9,1682,37.8,370,7.9,1526,38.2
