Unnamed: 0,VOF N = 18,NOC N = 18,t-test p value,df,χ2 p value
"Age, M (SD)",35.17 (7.12),37.06 (15.24),.64,34.0,–
"Education, N (%)",,,,3.0,
Primary,15 (83.33),10 (55.56),–,,.07
Secondary,1 (5.56),4 (22.22),–,,.15
College,2 (11.11),3 (16.67),–,,.63
"Axis-I disorder, N (%)",,,,2.0,
Alcohol abuse,4 (22.22),0,–,,.03
Alcohol dependence,5 (27.780),0,–,,.02
Substance dependence,13 (72.22),0,–,,< .001
Depressive episode past,6 (33.33),1 (5.56),–,,.04
PTSD,8 (44.44),0,–,,< .001
"Axis-II disorder, N (%)",,,,2.0,
Antisocial PD,11 (61.11),0,,,< .001
Borderline PD,3 (16.67),0,,,.07
Paranoid PD,3 (16.67),0,,,.07
