Older adults,Older adults,Older adults,Older adults,Older adults,Older adults,Older adults,Younger adults,Younger adults,Younger adults,Younger adults,Younger adults,Younger adults,Younger adults
RSN,Brain areas,BA,x,y,z,Voxels,RSN,Brain areas,BA,x,y,z,Voxels
,L Anterior Cingulate Cortex,32,−2,38,16,"19,634",,L Inferior Temporal,20,−40,0,−34,"11,193"
,L Inferior Temporal,37,−52,−50,−8,"3,336",,R Insula,47,32,20,−10,"1,454"
,R Inferior Temporal,37,62,−46,−18,"2,697",DMN,L Inferior Frontal (orbito),47,−34,22,−10,923
,L Inferior Frontal (orbito),13,−30,18,−18,"1,009",mPFC,R Thalamus,50,6,−8,2,392
,R Inferior Frontal (orbito),47,34,24,−18,885,,L Inferior Temporal,37,−44,−60,−8,323
,R Cerebellum Crus1,−,12,−78,−28,766,,R Calcarine,17,22,−74,4,274
,L Temporal Pole (middle),38,−54,10,−30,436,,,,,,,
DMN,L Cerebellum Crus2,−,−10,−76,−34,379,,R Precuneus,7,10,−64,36,"13,744"
,L Cerebellum 9,−,−2,−48,−56,287,,R Inferior Frontal (orbito),47,38,28,−14,"8,071"
,R Cerebellum Crus1,−,26,−80,−34,258,DMN,R Superior Parietal,5/7,26,−82,50,"3,546"
mPFC,L Cerebellum Crus2,−,−28,−78,−38,256,,L Superior Frontal (Medial),8,−8,30,42,"3,484"
,R Cerebellum 7b,−,32,−74,−56,204,,R Inferior Temporal,20,58,−20,−32,"1,541"
,L Cerebellum 8,−,−28,−72,−62,164,PCC,L Inferior Temporal,20,−64,−26,−22,832
,R Middle Frontal,38,52,12,−38,158,,L Cerebellum 9,−,−10,−52,−44,224
,R Superior Parietal,7,22,−58,56,151,,L Superior Parietal,7,−18,−56,60,144
,L Postcentral,1,−22,−30,68,143,,,,,,,
,L Cerebellum 45,−,−8,−62,−12,135,,R Caudate,−,16,−8,14,"5,714"
,L Cerebellum 45,−,−14,−34,−24,125,,L Postcentral,43,−52,−10,36,"4,805"
,,,,,,,DMN,R Precentral,4,50,−10,34,"4,748"
,,,,,,,,L Superior Frontal,6,−18,0,64,458
,L Fusiform,37,−30,−40,−16,"21,102",LP,R Primary Sensory,1,36,−46,66,205
,R Inferior Parietal,7,50,−52,54,"4,719",,R Postcentral,43,38,−18,−44,144
,R Superior Frontal,8,22,26,42,"2,698",,R Supplementary motor area,6,0,−4,68,111
,L Middle Frontal,6,−22,8,54,"2,329",,,,,,,
,R Precuneus,7,6,−60,56,"1,833",,L Angular,39,−46,−58,26,12056
,L Putamen,49,−24,6,−4,"1,562",,L Superior Frontal,8,−12,38,50,"7,117"
,L Middle Temporal,21,−52,−34,−12,"1,006",,L Middle Temporal,21,−56,−10,−24,"2,975"
DMN,R Supplementary motor area,6,10,18,64,937,,R Cerebellum 9R,−,10,−58,−52,"2,039"
,R Middle Cingulate Cortex,23,2,−18,32,655,,R Posterior Cingulate Cortex,23,0,−52,28,"1,629"
PCC,L Anterior Cingulate Cortex,24,−6,36,−4,590,,L Precuneus,7,−6,−76,46,"1,475"
,R Middle Temporal,21,52,−34,−10,563,ECN,R Middle Temporal,21,56,−8,−24,"1,347"
,L Inferior Temporal,20,−50,2,−38,375,,R Inferior Parietal,40,56,−38,48,698
,R Inferior Frontal (triangular),45,48,22,4,359,,L Middle Frontal,6,−36,12,52,431
,R Inferior Temporal,20,54,−4,−42,298,,R Supplementary motor area,6,8,−12,56,322
,L Cerebellum Crus1,−,−44,−70,−32,238,,R Postcentral,43,22,−46,60,304
,R Putamen,49,24,10,0,136,,R Cerebellum Crus1,−,24,−78,−34,245
,L Superior Frontal,6,−28,−10,70,134,,R Middle Frontal,8,36,16,40,214
,R Superior Temporal,39,58,−46,18,"12,078",,,,,,,
,L Middle Temporal,21,−54,−34,−4,"10,415",,R Middle Temporal,,54,−58,16,"6,322"
,L Middle Frontal,46,−40,40,14,"10,108",,L Superior Temporal,,−62,−56,14,"4,983"
,R Precuneus,7,6,−58,50,"3,077",DMN,R Middle Frontal,,42,0,56,"1,416"
,L Inferior Parietal,40,−46,−44,48,"2,266",Angular Gyrus,R Precuneus,,8,−50,46,931
,R Middle Frontal,10,40,46,6,"1,628",,R Superior Frontal (medial),,8,52,22,439
,R Precentral,6,44,6,42,"1,435",,L Cerebellum (Crus1),,−22,−78,−32,342
,R Superior Frontal (Medial),9,8,52,30,"1,327",,L Precentral,,−40,−4,44,264
,R Inferior Parietal,40,52,−36,50,"1,314",,R Insula,,40,14,−10,125
,L Middle Frontal,6,−42,8,50,965,,R Inferior Frontal (orbito),,48,30,−4,97
DMN,L Cerebellum Crus2,−,−22,−80,−36,950,,,,,,,
LP,R Supplementary motor area,6,14,18,66,876,,,,,,,
,L Inferior Temporal,37,−56,−46,−16,665,,,,,,,
,R Rectus,11,4,48,−24,614,,,,,,,
,R Cerebellum Crus2,,22,−76,−36,570,,,,,,,
,L Middle Cingulate Cortex,23,−2,−34,36,553,,,,,,,
,R Cerebellum Crus2,−,44,−68,−44,553,,,,,,,
,L Cerebellum 9,−,−4,−50,−52,525,,,,,,,
,R Inferior Temporal,37,52,−52,−16,514,,,,,,,
,L Hippocampus,30,−18,−36,2,167,,,,,,,
,L Cerebellum Crus2,−,−42,−62,−42,119,,,,,,,
,L Superior Frontal,6,−16,−10,76,116,,,,,,,
,L Inferior Frontal (triangular),44,−42,20,16,"39,179",,,,,,,
,R Lingual,18,10,−82,−6,462,,,,,,,
ECN,R Middle Frontal,46,46,12,56,296,,,,,,,
,R Para Hippocampal,34,26,−40,−4,210,,,,,,,
,L Superior Parietal,7,−20,−56,72,186,,,,,,,
