Unnamed: 0_level_0,Assessment used,Groups,Groups
Unnamed: 0_level_1,Unnamed: 1_level_1,Older adults,Younger adults
Total,-,34,20
Age [mean (SD)],-,63.0 (7.65) yrs.,23.0 (2.23) yrs.
Education [mean (SD)],-,12.79 (3.29) yrs.,15.45 (1.5) yrs.
Cognitive test scores,MoCA score [mean (SD)],24.38 (6.76),28.95 (1.79)
,MMSE score [mean (SD)],28.70 (1.08),29.3 (0.80)
Creativity scores,CAQ [mean (SD)],6.91 (21.82),10.65 (8.76)
Memory scores,Digit-span Forward [mean (SD)],13.64 (1.88),15.45 (0.68)
,Digit-Span Backward [mean (SD)],7.25 (2.23),11.8 (2.54)
,Letter-Number sequencing [mean (SD)],9.9 (5.21),16.45 (3.61)
