Unnamed: 0,HC (n = 70),BDSH− (n = 33),BDSH+ (n = 38),Statistic (F/χ2),p Value,Effect size (cramer's V/n2)
Demographics,Demographics,Demographics,Demographics,Demographics,Demographics,Demographics
Age,17.09 ± 1.70,17.63 ± 1.69,17.29 ± 1.45,1.23,0.3,0.02
SES???,4.40 ± 0.84,4.39 ± 0.79,4.16 ± 0.97,1.94,0.38,0.02
"Sex (n, % female)",38 (54.3),14 (42.4),30 (78.9),10.54,"0.005a,b",0.27
"Race (n, % Caucasian)",39 (55.7),25 (75.8),29 (76.3),6.5,0.04b,0.22
"Intact family (n, %)",43 (61.4),21 (63.6),22 (57.9),0.26,0.89,0.04
BMI (adjusted),21.93 ± 3.61,23.92 ± 3.61,24.19 ± 5.30,4.74,0.01b,0.06
Tanner stage???,4.31 ± 0.60,4.21 ± 0.60,4.63 ± 0.63,11.38,"0.003a,b",0.05
CGAS: most severe past episode,–,45.41 ± 9.97,42.66 ± 7.80,1.27,0.21,0.15
CGAS: highest past year???,89.16 ± 5.94,72.53 ± 11.62,64.97 ± 10.64,132.80,"<0.001a,c",0.66
CGAS: past month???,89.09 ± 5.50,67.59 ± 12.02,62.66 ± 10.75,101.36,"<0.001b,c",0.60
"Clinical characteristics, n (%)","Clinical characteristics, n (%)","Clinical characteristics, n (%)","Clinical characteristics, n (%)","Clinical characteristics, n (%)","Clinical characteristics, n (%)","Clinical characteristics, n (%)"
BD-I,,14 (42.4),11 (28.9),1.7,0.43,0.15
BD-II,,10 (30.3),12 (31.6),1.7,0.43,0.15
BD-NOS,,9 (27.3),15 (39.5),1.7,0.43,0.15
Age of onset,,14.61 ± 3.25,15.02 ± 2.20,0.62,0.54,0.15
Lifetime psychosis,,7 (21.2),2 (5.3),4.06,0.04,0.24
Lifetime suicide attempts,,0 (0),11 (28.9),,,
Lifetime NSSI,,0 (0),35 (92.1),,,
Lifetime suicidal ideation,,10 (30.3),32 (84.2),21.24,<0.001,0.55
Legal history,,7 (21.2),8 (21.1),0,0.99,0.002
Lifetime physical abuse,,1 (3.0),1 (2.6),0.01,0.91,0.01
Lifetime sexual abuse,,1 (3.0),2 (5.3),0.21,0.64,0.06
Lifetime any abuse (physical and/or sexual),,2 (6.1),2 (5.3),0.02,0.89,0.01
Lifetime psychiatric hospitalization,,15 (45.5),17 (44.7),0.004,0.95,0.007
Current depression score,,11.55 ± 9.71,19.21 ± 10.69,3.14,0.002,0.75
Lifetime depression score,,24.48 ± 12.64,33.92 ± 9.23,3.55,0.001,0.85
Current mania score,,4.91 ± 6.82,12.74 ± 10.36,3.81,<0.001,0.89
Lifetime mania score,,29.45 ± 10.53,31.00 ± 10.06,0.63,0.53,0.15
"Lifetime comorbid diagnoses, n (%)","Lifetime comorbid diagnoses, n (%)","Lifetime comorbid diagnoses, n (%)","Lifetime comorbid diagnoses, n (%)","Lifetime comorbid diagnoses, n (%)","Lifetime comorbid diagnoses, n (%)","Lifetime comorbid diagnoses, n (%)"
ADHD,,16 (48.5),19 (50.0),0.02,0.90,0.02
Oppositional defiant disorder,,6 (18.2),14 (36.8),3.04,0.08,0.21
Conduct disorder,,1 (3.0),2 (5.3),0.22,0.64,0.06
Any anxiety disorder,,22 (66.7),32 (84.2),2.99,0.08,0.21
Number of anxiety disorders,,1.24 ± 1.20,1.74 ± 1.20,1.73,0.09,0.42
Substance use disorder,,5 (15.2),11 (28.9),1.93,0.17,0.17
Eating disorder,,3 (9.1),17 (44.7),11.09,0.001,0.40
Nicotine use (yes/no)a,,1 (3.0)1,10 (26.3),7.31,0.007,0.32
"Family psychiatric history, n (%)","Family psychiatric history, n (%)","Family psychiatric history, n (%)","Family psychiatric history, n (%)","Family psychiatric history, n (%)","Family psychiatric history, n (%)","Family psychiatric history, n (%)"
Mania/hypomania,,20 (60.6),13 (34.2),4.95,0.03,0.26
Depression,,24 (72.7),28 (73.7),0.008,0.93,0.01
Anxiety,,18 (54.5),25 (65.8),0.94,0.33,0.12
ADHD,,12 (36.4),10 (26.3),0.83,0.36,0.11
"Lifetime medications, n (%)","Lifetime medications, n (%)","Lifetime medications, n (%)","Lifetime medications, n (%)","Lifetime medications, n (%)","Lifetime medications, n (%)","Lifetime medications, n (%)"
SGA,,26 (78.8),27 (71.1),0.56,0.46,0.09
Lithium,,10 (30.3),6 (15.8),2.13,0.14,0.17
SSRI antidepressants,,9 (27.3),14 (36.8),0.74,0.39,0.1
Non-SSRI antidepressants,,6 (18.2),7 (18.4),0.001,0.98,0.003
Stimulants,,9 (27.3),7 (18.4),0.79,0.37,0.11
"Current medications, n (%)","Current medications, n (%)","Current medications, n (%)","Current medications, n (%)","Current medications, n (%)","Current medications, n (%)","Current medications, n (%)"
SGA,,21 (63.6),21 (55.3),0.51,0.47,0.09
Lithium,,9 (27.3),3 (7.9),4.72,0.03,0.26
SSRI antidepressants,,2 (6.1),3 (7.9),0.09,0.76,0.04
Non-SSRI antidepressants,,0 (0),3 (7.9),2.72,0.10,0.2
Stimulants,,3 (9.1),2 (5.3),0.4,0.53,0.08
