Variables,HC,PD-TD subtype,PD-PIGD subtype,p: HC vs PD-TD,p: HC vs PD-PIGD,p: PD-PIGD vs PD-TD
N,60,32,26,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1
Demographic and general clinical variables,Demographic and general clinical variables,Demographic and general clinical variables,Demographic and general clinical variables,Demographic and general clinical variables,Demographic and general clinical variables,Demographic and general clinical variables
Age at MRI [years],61.79 ± 8.9 (46.14–77.72),60.96 ± 7.22 (43.43–75.87),61.73 ± 5.28 (48.45–71.42),1.00,1.00,1.00
Sex [men/women],29 (48.3)/31 (51.7),19 (59.4)/13 (40.6),10 (38.5)/16 (61.5),0.38,0.48,0.19
Education [years],13.52 ± 2.57 (8.00–16.00),12.88 ± 2.69 (7.00–20.00),12.62 ± 2.65 (8.00–17.00),0.84,0.47,1.00
Handedness [right/left/both],46 (92)/4 (8)/0 (0),31 (96.9)/1 (3.1)/0(0),26 (92.0)/0 (0)/0 (0),0.64,0.29,1.00
Age at onset [years],–,59.13 ± 7.66 (42.50–73.00),58.54 ± 6.23 (42.00–70.00),–,–,0.75
PD duration [years],–,1.83 ± 1.74 (0.14–7.57),3.20 ± 4.74 (0.00–23.94),–,–,0.14
Family history [No/Yes],–,22 (68.8)/10 (31.3),22 (84.6)/4 (15.4),–,–,0.22
Side of onset [right/left/both],–,20 (62.5)/12 (37.5)/0(0),16 (61.5)/10 (38.5)/3 (3.3),–,–,1.00
Levodopa equivalent daily dose [mg],–,252.97 ± 266.97 (0.00–970.00),342.60 ± 233.38 (0.00–1000.00),–,–,0.18
Clinical motor variables,Clinical motor variables,Clinical motor variables,Clinical motor variables,Clinical motor variables,Clinical motor variables,Clinical motor variables
Hoehn & Yahr,–,1.16 ± 0.47 (1.00–3.00),1.12 ± 0.43 (1.00–3.00),–,–,0.73
UPDRS Total,–,28.53 ± 15.43 (11.00–81.00),31.00 ± 11.82 (17.00–76.00),–,–,0.51
UPDRS II Total,–,5.72 ± 4.38 (0.00–19.00),7.12 ± 4.01 (2.00–20.00),–,–,0.22
UPDRS III Total,–,17.88 ± 10.18 (10.00–52.00),17.96 ± 8.77 (10.00–52.00),–,–,0.97
UPDRS III Axial,–,1.53 ± 1.50 (0.00–7.00),2.58 ± 1.30 (1.00–7.00),–,–,0.01
UPDRS III Bradykinesia,–,7.31 ± 5.27 (3.00–25.00),8.92 ± 5.11 (5.00–27.00),–,–,0.25
UPDRS III Rigidity,–,2.63 ± 1.62 (0.00–8.00),3.89 ± 2.36 (2.00–13.00),–,–,0.02
UPDRS IV Total,–,0.22 ± 0.94 (0.00–5.00),0.27 ± 0.96 (0.00–4.00),–,–,0.84
UPDRS IV Dyskinesia [No/Yes],–,31 (96.9)/1 (3.1),24 (92.3)/2 (7.7),–,–,0.53
UPDRS IV Fluctuation [No/Yes],–,30 (93.8)/2 (6.3),24 (92.3)/2 (7.7),–,–,0.50
FOG-Q,–,0.69 ± 1.03 (0.00–4.00),1.15 ± 1.43 (0.00–5.00),–,–,0.16
