Unnamed: 0,USG1,USG2,USG3,Fstat/ χ2,p-value
N,16,23,15,,
Age,34.44 (4.15),35.7 (3.43),36.4(3.76),1.41,n.s.
"Sex, number of subjects (percent)",,,,1.972,n.s.
Male,12(75%),21(91%),12(80%),,
Female,4(25%),2(9%),3(20%),,
Ethnicity/Race,,,,8.295,n.s.
Caucasian,6(38%),15(68%),8(57%),,
African-American,1(6%),0(0%),1(8%),,
Asian/Pacific Islander,3(19%),0(0%),1(7%),,
Hispanic/Latino,2(13%),4(18%),2(14%),,
Mixed,4(25%),3(14%),2(14%),,
Education,14.5(1.16),14.91(1.02),15.143(1.70),0.766,n.s.
"Marital Status, number of subjects (percent)",,,,8.255,n.s.
Single,1(6%),6(26%),5(33%),,
In a relationship,5(31%),9(39%),5(33%),,
Married,8(50%),5(22%),4(27%),,
Divorced/separated,2(13%),2(9%),0(0%),,
"Employment, number of subjects (percent)",,,,0.609,n.s.
Employed,12(75%),16(69%),10(67%),,
Out of work,1(6%),2(9%),2(13%),,
Student,2(13%),3(13%),2(13%),,
Other,1(6%),2(9%),1(7%),,
Clinical and Psychological Variables,,,,,
"Mild TBI, number of subjects (percent)",,,,0.414,n.s.
Yes,9(56%),13(57%),7(47%),,
No,7(44%),10(43%),8(53%),,
PTSD Checklist (PCL),9.81(9.16),12.34(15.76),24.53(20.11),4.107,<0.05
Pain Severity (BPI),2.05(2.26),1.93(2.06),3.44(2.42),2.22,n.s.
Pain Interference (BPI),1.59(2.31),1.67(2.02),3.02(2.24),2.161,n.s.
Beck Depression Inventory2 (BDI2),7.31(7.31),12.17(11.59),16.13(13.18),2.815,0.069
Pain Catastrophizing Scale (PCS),8.44(7.32),9.61(9.99),18.4(14.47),3.963,<0.05
Pain Anxiety Symptoms Scale (PASS),14.25(10.77),17.39(15.79),28.47(17.17),4.421,<0.05
Combat Exposure Scale (CES),12.25(10.83),11.13(12.14),13.27(12.87),0.347,n.s.
