Site,ATT,ATV,COI,HUH,HKH,KPM,SWA,KUT,UTO
MRI scanner,SiemensTimTrio,SiemensVerio,SiemensVerio,GE SignaHDxt,SiemensSpectra,PhilipsAchieva,SiemensVerio,SiemensTimTrio,GEMR750w
Magnetic field strength,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T,3.0 T
Number of channels per coil,12,12,12,8,12,8,12,32,24
Field of view (mm),212 × 212,212 × 212,212 × 212,256 × 256,192 × 192,192 × 192,212 × 212,212 × 212,212 × 212
Matrix,64 × 64,64 × 64,64 × 64,64 × 64,64 × 64,64 × 64,64 × 64,64 × 64,64 × 64
Number of slices,40 or 39,39,40,32,38,39,40,40,40
Number of volumes,240,240,240,143,107,194,240,240,240
In-plane resolution (mm),3.3125 × 3.3125,3.3125 × 3.3125,3.3125 × 3.3125,4.0 × 4.0,3.0 × 3.0,3.0 × 3.0,3.3125 × 3.3125,3.3125 × 3.3125,3.3125 × 3.3125
Slice thickness (mm),3.2,3.2,3.2,4.0,3.0,3.0,3.2,3.2,3.2
Slice gap (mm),0.8,0.8,0.8,0,0,0,0.8,0.8,0.8
TR (ms),"2,500","2,500","2,500","2,000","2,700","2,000","2,500","2,500","2,500"
TE (ms),30,30,30,27,31,30,30,30,30
Total scan time (min:s),10:00,10:00,10:00,5:00,5:00,6:30,10:00,10:00,10:00
Flip angle (deg),80,80,80,90,90,80,80,80,80
Slice acquisition order,Ascending,Ascending,Ascending,Ascending(Interleaved),Ascending,Ascending,Ascending,Ascending,Ascending
Phase encoding,PA,PA,AP,PA,AP,AP,PA,PA,PA
Eye closed/fixate,Fixate,Fixate,Fixate,Fixate,Fixate,Closed,Fixate,Fixate,Fixate
