Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,BL-HC,BL-HC,FU-BL,FU-BL,FU-HC,FU-HC
Unnamed: 0_level_1,PD-BL (n = 20),PD-Y3 (n = 20),HC (n = 19),P-value,T/Z value,P-value,T value,P-value,T value
Age (years),64.35 ± 7.96,67.35 ± 8.0,62.84 ± 10.5,0.62,0.51,−,−,−,−
Gender (M: F),13: 7,–,15: 4,0.33,0.94,−,−,−,−
Education years,13.4 ± 3.2,–,16.84 ± 2.54,0.002,-3.16,−,−,−,−
Disease duration (months),4.99 ± 4.82,–,–,−,−,−,−,−,−
LEDD,215.65 ± 164.61,590.36 ± 229.67,–,−,−,<0.001,5.98,−,−
H and Y stage (ON),1.37 ± 0.48,1.7 ± 0.47,–,−,−,0.03,2.18,−,−
ADL,90 ± 6.88,89.25 ± 5.68,–,–,−,0.51,-0.66,–,−
UPDRS-I,6.7 ± 5.17,8.15 ± 5.03,–,−,−,0.03,2.42,−,−
UPDRS-II (ON),6.4 ± 4.59,7.65 ± 4.73,–,−,−,0.46,0.74,−,−
UPDRS-III (ON),15.9 ± 9.83,18.1 ± 9.22,–,−,−,0.35,0.94,−,−
Total UPDRS (ON),29.26 ± 15.38,33.9 ± 15.15,–,−,−,0.23,1.25,−,−
HVLT-immediate recall,26.05 ± 6.12,25.8 ± 5.91,25.89 ± 5.08,0.70,0.38,0.83,0.21,0.87,0.17
HVLT-delayed recall,9.1 ± 2.94,8.4 ± 3.42,8.21 ± 3.12,0.38,0.88,0.26,-1.13,0.91,0.11
HVLT-recognition,10.8 ± 2.73,11.2 ± 1.11,11.21 ± 1.03,0.68,0.42,0.85,-0.21,0.84,0.20
HVLT-false alarms,0.8 ± 0.95,0.6 ± 0.75,2.16 ± 2.17,0.06,-1.91,0.34,-1.10,0.02,-2.33
HVLT-discrimination,10 ± 2.92,10.6 ± 1.6,7.16 ± 5.52,0.11,1.58,0.76,-0.36,0.05,1.92
HVLT-retention,0.84 ± 0.2,0.8 ± 0.24,0.79 ± 0.23,0.55,0.60,0.38,-0.88,0.89,0.14
BJLOT,12.6 ± 1.93,13.3 ± 1.56,13.37 ± 1.8,0.14,-1.49,0.21,-1.27,0.73,-0.35
ESS,6.3 ± 4.35,6.95 ± 5.25,5.58 ± 3.31,0.84,0.2,0.36,0.92,0.59,0.54
GDS,1.9 ± 2.22,1.85 ± 2,0.95 ± 1.58,0.13,1.5,0.81,0.25,0.86,0.18
LNS,10.75 ± 1.97,10.15 ± 2.74,11.37 ± 2.29,0.47,-0.73,0.23,-1.2,0.14,-1.46
REM,3.45 ± 1.99,3.6 ± 2.21,2.76 ± 1.66,0.35,0.95,0.89,0.14,0.3,1.04
SCOPA-AUT,9.65 ± 6.77,10.5 ± 5.72,6.28 ± 3.84,0.09,1.7,0.34,0.95,0.012,2.51
SFT,50.35 ± 11.52,50.55 ± 10.77,48.16 ± 9.48,0.52,0.65,0.91,0.12,0.52,0.65
SFT-animal,23.25 ± 4.98,22.95 ± 6.03,20.89 ± 4.65,0.14,1.52,0.82,-0.23,0.39,1.06
SFT-fruit,13.8 ± 4.10,13.45 ± 3.86,14.11 ± 3.77,0.81,-0.24,0.67,-0.43,0.58,-0.55
SFT-vegetable,13.3 ± 4.66,14.15 ± 3.84,13.16 ± 3.88,0.92,0.1,0.3,1.07,0.38,0.88
STAI-state sub score,32.8 ± 8.76,31.75 ± 8.24,30.05 ± 8.19,0.34,0.96,0.65,-0.46,0.50,0.68
STAI-trait sub score,31.8 ± 8.48,31.3 ± 7.48,29.74 ± 8.93,0.38,0.89,0.92,-0.10,0.43,0.79
STAI total,64.6 ± 16.67,63.05 ± 14.7,59.79 ± 15.48,0.36,0.93,0.58,0.57,0.4,0.84
SDM,41.25 ± 9.44,38.2 ± 9.40,48.16 ± 10.12,0.03,-2.21,0.11,1.7,0.003,-3.19
MoCA,27.25 ± 2.34,27.4 ± 2.56,28.21 ± 1.13,0.3,-1.04,0.69,-0.4,0.61,-0.52
UPSIT,20.9 ± 8.79,–,33.58 ± 4.57,<0.001,-5.61,−,−,−,−
