Seed,Connected region,Brodmann partition,Clusters,Peak MNI (peak coordinates),t
Caudate,Tobacco dependence group > Control group,Tobacco dependence group > Control group,Tobacco dependence group > Control group,Tobacco dependence group > Control group,Tobacco dependence group > Control group
,Left middle frontal gyrus,10,27,−45 45 18,4.07
Tobacco dependence group < Control group,Tobacco dependence group < Control group,Tobacco dependence group < Control group,Tobacco dependence group < Control group,Tobacco dependence group < Control group,Tobacco dependence group < Control group
,Right superior temporal gyrus,22,19,63 −36 12,−4.67
,Left parietal lobe,31,20,−18 −45 30,−3.71
Putamen Tobacco dependence group > Control group,Putamen Tobacco dependence group > Control group,Putamen Tobacco dependence group > Control group,Putamen Tobacco dependence group > Control group,Putamen Tobacco dependence group > Control group,Putamen Tobacco dependence group > Control group
,Left inferior frontal gyrus,47,21,−45 21 −3,3.90
,Left superior frontal gyrus,10,38,−24 69 3,3.76
,Left lateral globus pallidus,/,29,−15 0 9,3.71
,Right superior frontal gyrus,9/10,20,15 54 33,4.41
,Left cingulate gyrus,9,156,−18 30 39,4.20
,Right middle frontal gyrus,9,104,27 27 39,5.04
,Left middle frontal gyrus,8,29,−48 9 48,4.71
,Left superior frontal gyrus,8,56,−9 39 51,4.66
Tobacco dependence group < Control group,Tobacco dependence group < Control group,Tobacco dependence group < Control group,Tobacco dependence group < Control group,Tobacco dependence group < Control group,Tobacco dependence group < Control group
,Right temporal lobe,41,26,42 −30 6,−4.87
,Right postcentral,40/5,36,21 −42 60,−4.49
