Unnamed: 0,Total sample,HO,MCI,Unnamed: 4
N (n women),230 (115),140 (71),90 (44),
Age (years),65.2 ± 7.6(50–80),63 ± 6.9(50–79),68.6 ± 7.5(50–80),**
APOE4 carrier (%),71 (30%)(n = 228),27 (19%),44 (49%),**
WML/TIV,0.17 ± 0.37(0–2.8)(n = 229),0.11 ± 0.25(0–1.5),0.28 ± 0.48(0–2.8),**
Cognitive reserve,Cognitive reserve,Cognitive reserve,Cognitive reserve,Cognitive reserve
Education,15.8 ± 3.3(6–29),16 ± 3.1(10–25),15 ± 3.7(6–29),
MWT,31.9 ± 2.7(21–37),32.4 ± 2(24–37),31.1 ± 3(21–37),
Lifestyle index,16.2 ± 2.6(7–22)(n = 139),16.3 ± 2.5(7–20),16.1 ± 2.7(9–22),
Cognition,Cognition,Cognition,Cognition,Cognition
MMSE,28.7 ± 1.2(24–30),29.0 ± 1.1(26–30),28.3 ± 1.4(24–30),**
G factor score,–,0.35 ± 0.8(−1.6 to 1.8),−0.55 ± 0.9(−1.3 to 2.6),**
Executive function factor score,–,0.25 ± 0.6(−1.2 to 2.7),−0.39 ± 1.1(−1.1 to 4.7),**
Memory factor score,–,0.33 ± 0.8(−1.9 to 1.7),−0.52 ± 0.9(−2.5 to 1.3),**
