Contrast,Pair Connection,Statistics (T),P Value,P Value
Contrast,Pair Connection,Statistics (T),Uncorrected,FDR
Mouth < Nose,net.SM.Lateral (L)-net.SM.Superior,6.85,0.0,0.0001
Mouth < Nose,net.SM.Superior-net.SM.Lateral (L),6.85,0.0,0.0001
Mouth < Nose,net.SM.Superior–PostCG (L),5.74,0.0,0.0005
Mouth < Nose,net.SM.Superior–PreCG (L),5.13,0.0,0.0012
Mouth < Nose,net.SM.Superior-net.SM.Lateral (R),5.06,0.0,0.0012
Mouth < Nose,net.SM.Lateral (R)-net.SM.Superior,5.06,0.0,0.0049
Mouth < Nose,net.Salience.RPFC (L)-MedFC,4.69,0.0001,0.0114
Mouth < Nose,Cereb10 (R)-Brain-Stem,4.67,0.0001,0.0121
Mouth < Nose,Cereb10 (R)-Vermis3,4.28,0.0002,0.0149
Mouth < Nose,Cereb10 (L)-Cereb6 (L),4.13,0.0003,0.0421
Mouth < Nose,net.SM.Superior–CO (L),3.97,0.0004,0.0123
Mouth < Nose,PO (R)-net.DefaultMode.LP (R),3.93,0.0004,0.0465
Mouth < Nose,PO (R)-Cereb10 (L),3.79,0.0006,0.0465
Mouth < Nose,Cereb10 (L)-PO (R),3.79,0.0006,0.0465
Mouth < Nose,net.SM.Superior–CO (R),3.77,0.0006,0.0163
Mouth < Nose,net.SM.Superior–PreCG (R),3.7,0.0007,0.0166
