Resting state functional connectivity,Unnamed: 1_level_0,Clinical indicators,Clinical indicators,Clinical indicators,Clinical indicators,Clinical indicators,Clinical indicators,Emotion regulation mechanisms,Emotion regulation mechanisms,Emotion regulation mechanisms,Emotion regulation mechanisms
Unnamed: 0_level_1,Unnamed: 1_level_1,Δ GAD severity,ΔMDD severity,Δ Anxiety distress,Δ Depression distress,Δ Worry,Δ Rumination,Δ Focus,Δ Shifting attention,Δ Decentering,Δ Reappraisal
PCC seed with,,,,,,,,,,,
Middle Occipital Gyrus,r,−0.063,0.164,0.004,0.264,−0.218,−0.155,0.287,0.512*,0.373,0.358
,p,0.798,0.530,0.986,0.274,0.370,0.528,0.233,0.025,0.116,0.132
Precuneus,r,−0.215,−0.045,0.066,0.138,0.336,0.284,−0.092,0.025,0.116,0.307
,p,0.376,0.863,0.789,0.572,0.160,0.239,0.709,0.920,0.636,0.202
Cuneus,r,0.123,0.221,0.234,0.353,−0.110,−0.005,0.339,0.507*,0.163,0.213
,p,0.615,0.395,0.335,0.139,0.654,0.983,0.156,0.027,0.506,0.381
Precentral Gyrus (Motor),r,−0.419,−0.148,−0.569*,−0.395,−0.226,−0.318,0.209,0.191,0.355,0.380
,p,0.074,0.570,0.011,0.094,0.352,0.184,0.391,0.433,0.136,0.108
Pre-Motor areas/DLPFC,r,0.101,−0.417,−0.194,−0.367,−0.049,−0.083,0.369,0.336,0.320,0.403
,p,0.681,0.096,0.427,0.122,0.842,0.736,0.120,0.160,0.182,0.087
rpInsula seed with,,,,,,,,,,,
amPFC/dACC,r,−0.144,0.246,−0.025,−0.152,−0.272,−0.027,−0.084,−0.231,0.060,−0.088
,p,0.557,0.341,0.920,0.533,0.260,0.911,0.733,0.341,0.808,0.720
Midbrain,r,−0.087,−0.346,0.070,0.018,−0.103,0.209,−0.046,0.120,−0.046,0.017
,p,0.724,0.173,0.777,0.943,0.676,0.391,0.851,0.624,0.850,0.945
raInsula seed with,,,,,,,,,,,
Precuneus,r,0.202,0.170,−0.030,0.138,−0.104,−0.052,−0.1290.50,−0.129275,−0.239,−0.260
,p,0.936,0.514,0.903,0.573,0.673,0.831,0.600829,0.600228,0.324,0.282
