Papers,MCI,Control,Imaging modalities,Data analysis,Acc. (%),Sen. (%),Spec. (%),Auc. (%)
Koch et al. (???),17,21,fMRI,ICA & VOI-based time course,81.6,64.7,95.2,–
Qian et al. (???),37,32,fMRI,CEEMD & SVM,93.3,–,–,94.1
Chen et al. (???),15,20,fMRI,LSN & LDA,91.0,93.0,90.0,95.0
Khazaee et al. (???),89,45,fMRI,SVM,72.0,84.9,61.5,–
Chen et al. (???),29,30,fMRI,LASSO & SVM,88.1,86.2,90.0,93.0
Yu et al. (???),50,49,fMRI,WSGR,84.8,86.8,72.1,86.8
Challis et al. (???),50,39,fMRI,GP-LR,75.0,100%,50.0,70.0
Jie et al. (???),99,50,fMRI,SVM,78.0,82,74,77
Wee et al. (???),10,17,DTI & fMRI,SVM,96.3,100,94.1,95.3
Zhu et al. (???),22,22,DTI & fMRI,CFS & SVM,95.4,95.0,95.9,–
