Items of recent criteria,Subjective memory complaint,Corroborated by an informant,Objective cognitive impairment (especially memory),Normal activities of daily living,Not demented and not normal,Subcategorization: single / multiple domain,Biomarkers,A β (PET or CSF),Tau (PET or CSF),"Neuronal injury (FDG, sMRI, fMRI)",Nomenclature
Petersen et al. (???),Yes,,,Yes,Yes,,,,,,MCI
Petersen et al. (???),Yes,Yes,Yes,Yes,Yes,,,,,,aMCI
Winblad et al. (???); Gauthier et al. (???); Petersen and Negash (???),Yes,Yes,Yes,Yes,Yes,Yes,,,,,aMCI
ADNI,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,aMCI
Dubois and Albert (???)/ IWG2007 (???),Yes,,Yes (hippocampal type),Yes,Yes,,Yes,/,/,/,Prodromal AD or MCI of Alzheimer-type
NIA-AA2011 (???),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Conflicting/ in determinant/ untested,Conflicting/ in determinant/ untested,Conflicting/ in determinant/ untested,MCI-core clinical criteria
,,,,,,,,Positive,Untested,Untested,MCI due to AD—intermidiate likelihood
,,,,,,,,Untested,Positive,Positive,MCI due to AD—intermidiate likelihood
,,,,,,,,Positive,Positive,Positive,MCI due to AD—high likelihood
NIA-AA2018 (???),,Yes,Yes,Yes,Yes,,Yes,Positive,Negative,Negative,Alzheimer's pathologic change with MCI
,,,,,,,,Positive,Positive,Positive /negative,Alzheimer's disease with MCI (prodromal AD)
,,,,,,,,Positive,Negative,Positive,Alzheimer's and concomitant suspected non Alzheimer's pathologic change with MCI
,,,,,,,,Negative,Positive/ negative,Positive/ negative,Non-Alzheimer's pathologic change with MCI
