Unnamed: 0,Group 1 (+/+),Group 2 (+/−),Group 3 (−/ +),Group 4 (−/−)
No. of patients,8/32 (25%),10/32 (31.25%),6/32 (18.75%),8/32 (25%)
Sex,Sex,Sex,Sex,Sex
Female,4 (50%),9 (90%),4 (66.7%),4 (50%)
Male,4 (50%),1 (10%),2 (33.3%),4 (50%)
Mean age,73.6 ± 9.3 (range 53–85),71.2 ± 5.7 (range 56–77),74.5 ± 3.0 (range 71–79),77.0 ± 5.3 (range 67–86)
Symptoms duration (months),18.3 ± 2.7 (range 12–24),21.6 ± 7.3 (range 12–30),23.2 ± 6.8 (range 12–30),37.8 ± 5.4 (range 30–48)
mFI-11,4.7 ± 1.1 (range 1–6),5.2 ± 1.7 (range 0–7),5.3 ± 2.9 (range 2–8),7.8 ± 2.1 (range 4–10)
Neuroradiological parameters,Neuroradiological parameters,Neuroradiological parameters,Neuroradiological parameters,Neuroradiological parameters
EI,0.39 ± 0.03 (range 0.33–0.45),0.38 ± 0.05 (range 0.32–0.47),0.36 ± 0.04 (range 0.30–0.43),0.37 ± 0.04 (range 0.31–0.41)
CA,94.3° ± 24.1° (range 63°–130°),95.0° ± 19.4° (range 65°–129°),100.7° ± 19.4° (range 79°–130°),96.9° ± 12.6° (range 79°–103°)
DESH,5 (62.5%),8 (80%),4 (66.7%),2 (25%)
Infusion test,Infusion test,Infusion test,Infusion test,Infusion test
Rout,13.20 ± 1.00 (range 12.00–15.00),13.39 ± 1.29 (range 12.00–16.00),9.56 ± 1.79 (range 6.00–11.33),8.98 ± 1.43 (range 6.67–11.33)
TUG,TUG,TUG,TUG,TUG
Pre-test value,22.56 ± 15.39 (range 13.0–61.0),18.15 ± 15.75 (range 10.5–65.0),17.33 ± 12.90 (range 10.0–46.0),15.13 ± 3.77 (range 10.5–22.0)
Post-test value,18.81 ± 13.73 (range 9.5–54.0),17.90 ± 15.87 (range 10.0–65.0),12.67 ± 7.76 (range 9.0–30.0),15.94 ± 4.68 (range 10.5–23.0)
Improvement (%),17.47 ± 5.89 (range 10.71–26.20),1.73 ± 6.97 (range −11.76–9.09),22.21 ± 8.87 (range 10.00–34.78),−4.73 ± 11.35 (range −25.71–8.33)
MN,MN,MN,MN,MN
Pre-test value,12.24 ± 2.92 (range 7.94–17.01),9.96 ± 1.65 (range 7.37–13.33),13.04 ± 2.27 (range 8.66–16.09),11.92 ± 2.10 (range 7.45–13.96)
Post-test value,15.38 ± 1.87 (range 12.18–18.95),12.97 ± 2.96 (range 8.06–17.38),14.95 ± 2.40 (range 10.38–17.54),10.73 ± 1.70 (range 8.06–13.56)
Improvement (%),30.73 ± 26.46 (range 7.81–91.06),30.16 ± 21.14 (range 2.94–66.63),15.28 ± 9.21 (range 4.40–31.99),−0.20 ± 31.25 (range −25.65–59.19)
DMN,DMN,DMN,DMN,DMN
Pre-test value,12.98 ± 3.97 (range 6.77–18.33),14.24 ± 4.42 (range 9.78–26.31),12.57 ± 2.29 (range 10.04–16.06),14.30 ± 3.09 (range 10.40–18.56)
Post-test value,17.05 ± 2.67 (range 12.56–21.59),18.31 ± 4.74 (range 14.02–30.81),16.60 ± 1.59 (range 14.47–19.00),13.44 ± 3.67 (range 7.54–18.59)
Improvement (%),41.06 ± 39.92 (range 7.26–139.44),32.56 ± 26.71 (range 2.57–86.07),34.12 ± 11.34 (range 18.31–44.47),−3.63 ± 30.71 (range -31.02–49.29)
Surgery,Surgery,Surgery,Surgery,Surgery
VPS implantation,8/8 (100%),10/10 (100%),6/6 (100%),8/8 (100%)
Clinical Improvement,8/8 (100%),10/10 (100%),6/6 (100%),2/8 (25%)
