Parameter,Value
No. of patients,32
Sex,Sex
Female,21 (65.6%)
Male,11 (34.4%)
Age at the referral,73.9 ± 6.7 years-old (range 53–86)
Neuroradiological parameters,Neuroradiological parameters
EI,0.38 ± 0.04 (range 0.30–0.47)
CA,96.3° ± 19.4° (range 63°-130°)
DESH,19 (59.4%)
Infusion test,Infusion test
Rout,11.52 ± 2.45 mmHg/mL/min (range 6.00–16.00)
TUG,TUG
Pre-test value,18.34 ± 13.37 (range 10–65)
Post-test value,16.67 ± 12.14 (range 9–65)
Improvement (%),7.89 ± 13.56 (range -25.71–34.78)
MN,MN
Pre-test value,11.44 ± 2.53 (range 7.37–17.01)
Post-test value,13.38 ± 2.95 (range 8.06–18.95)
Improvement (%),19.92 ± 27.24 (range -25.67–91.06)
DMN,DMN
Pre-test value,13.63 ± 3.74 (range 6.77–26.31)
Post-test value,16.46 ± 4.01 (range 7.54–30.81)
Improvement (%),25.93 ± 34.40 (range −31.02–139.44)
VPS implantation,32/32 (100%)
Clinical Improvement post-VPS,26/32 (81%)
