Seed,Contrast,Cluster Index,Cluster P value,Volume (cm3),Zmax,Zmax MNI coordinates,Atlas
Right VI,Positive corr,1,8.30E−04,4.08,3.99,18–80–44,79.8% R CRBL Crus II
Right VI,Positive corr,1,8.30E−04,4.08,3.99,18–80–44,10.0% R CRBL VIIb
Right Crus II,Positive corr,1,8.24E−05,6.11,4.2,34 56 2,63.7% R Frontal Pole
Right Crus II,Positive corr,1,8.24E−05,6.11,4.2,34 56 2,"18.6% R Inferior Frontal G, p.t"
Right Crus II,Positive corr,1,8.24E−05,6.11,4.2,34 56 2,"12.7% R Inferior Frontal G, p.o"
Right Crus II,Positive corr,2,1.34E − -02,2.62,3.68,− 40 38 8,70.7% L Frontal Pole
Right Crus II,Positive corr,2,1.34E − -02,2.62,3.68,− 40 38 8,17.4% L Middle Frontal G
Right Crus II,Positive corr,2,1.34E − -02,2.62,3.68,− 40 38 8,"6.1% L Inferior Frontal G, p.t"
Vermis VIIIa,AW0 > BW4,1,6.77E−04,3.21,3.92,− 12 24 60,92.3% L Superior Frontal G
Vermis VIIIa,AW0 > BW4,1,6.77E−04,3.21,3.92,− 12 24 60,7.7% L Paracingulate G
Vermis VIIIb,Positive corr,1,1.54E−04,4.2,4.16,64−40 8,"31.6% R Supramarginal G, p.d"
Vermis VIIIb,Positive corr,1,1.54E−04,4.2,4.16,64−40 8,"28.2% R Middle Temporal G, t-o.p"
Vermis VIIIb,Positive corr,1,1.54E−04,4.2,4.16,64−40 8,"22.5% R Middle Temporal G, p.d"
Vermis VIIIb,Positive corr,1,1.54E−04,4.2,4.16,64−40 8,"14.9% R Superior Temporal G, p.d"
Vermis VIIIb,Positive corr,2,3.19E−04,3.81,3.84,−46 24 32,86.3% L Middle Frontal G
Vermis VIIIb,Positive corr,2,3.19E−04,3.81,3.84,−46 24 32,"8.4% L Inferior Frontal G, p.o"
Vermis VIIIb,Positive corr,2,3.19E−04,3.81,3.84,−46 24 32,5.0% L Precentral G
Vermis VIIIb,Positive corr,3,4.46E−04,3.63,3.96,46 2 36,44.1% R Precentral G
Vermis VIIIb,Positive corr,3,4.46E−04,3.63,3.96,46 2 36,30.0% R Middle Frontal G
Vermis VIIIb,Positive corr,3,4.46E−04,3.63,3.96,46 2 36,"25.3% R Inferior Frontal G, p.o"
Vermis VIIIb,Positive corr,4,1.39E−03,3.06,4.31,34–76−46,50.5% R CRBL Crus II
Vermis VIIIb,Positive corr,4,1.39E−03,3.06,4.31,34–76−46,22.5% R CRBL VIIb
Vermis VIIIb,Positive corr,4,1.39E−03,3.06,4.31,34–76−46,19.4% R CRBL Crus I
Vermis VIIIb,Positive corr,4,1.39E−03,3.06,4.31,34–76−46,6.5% R CRBL VI
Vermis VIIIb,Positive corr,5,5.39E−03,2.42,3.84,−6 − 74 −28,53.6% L CRBL VI
Vermis VIIIb,Positive corr,5,5.39E−03,2.42,3.84,−6 − 74 −28,30.1% CRBL Vermis VI
Vermis VIIIb,Positive corr,5,5.39E−03,2.42,3.84,−6 − 74 −28,22.5% L Lingual G
Vermis VIIIb,Positive corr,5,5.39E−03,2.42,3.84,−6 − 74 −28,8.6% R Lingual G
Vermis VIIIb,Positive corr,5,5.39E−03,2.42,3.84,−6 − 74 −28,6.0% L Occipital Fusiform G
Vermis VIIIb,Positive corr,5,5.39E−03,2.42,3.84,−6 − 74 −28,5.3% L CRBL Crus I
Vermis VIIIb,Positive corr,6,5.39E−03,1.74,3.56,46 22–6,60.1% R Frontal Pole
Vermis VIIIb,Positive corr,6,5.39E−03,1.74,3.56,46 22–6,20.6% R Frontal Orbital C
Vermis VIIIb,Positive corr,6,5.39E−03,1.74,3.56,46 22–6,"14.2% R Inferior Frontal G, p.t"
Vermis VIIIb,Positive corr,7,3.09E−02,1.66,3.75,−56–48 4,"46.2% L Middle Temporal G, t-o.p"
Vermis VIIIb,Positive corr,7,3.09E−02,1.66,3.75,−56–48 4,34.1% L Planum Temporale
Vermis VIIIb,Positive corr,7,3.09E−02,1.66,3.75,−56–48 4,"16.8% L Superior Temporal G, p.d"
Right IX,Positive corr,1,6.57E−04,4.16,4.13,−26–76 −48,32.5% L CRBL Crus II31.5% L CRBL Crus I20.6% L CRBL VI15.4% L CRBL VIIb
Right IX,Positive corr,2,4.76E−02,1.76,4.06,8−34–42,100% Brain-Stem
