Compound,Control (n = 3),DHA (n = 5),p-Value
lipid,3.90 ± 0.90,3.83 ± 0.55,0.94
C12:0,0.04 ± 0.00,0.09 ± 0.00,0.01
C14:0,1.23 ± 0.09,2.29 ± 0.17,0.004
C14:1,0.02 ± 0.00,0.07 ± 0.01,0.01
C15:0,0.11 ± 0.01,0.11 ± 0.01,0.69
C16:0,18.31 ± 0.69,19.50 ± 0.50,0.20
C16:1,3.25 ± 0.07,4.43 ± 0.34,0.04
C17:0,0.30 ± 0.01,0.24 ± 0.01,0.01
C17:1,0.23 ± 0.01,0.24 ± 0.02,0.90
C18:0,4.70 ± 0.52,4.30 ± 0.32,0.51
C18:1,29.80 ± 0.81,32.18 ± 1.42,0.19
C18:2,35.98 ± 2.03,27.55 ± 1.72,0.02
C18:3n-6,0.64 ± 0.08,0.39 ± 0.05,0.03
C18:3n-3,0.83 ± 0.03,0.80 ± 0.07,0.78
C20:0,0.18 ± 0.07,0.14 ± 0.03,0.65
C20:1,0.34 ± 0.03,0.37 ± 0.02,0.45
C20:2,0.74 ± 0.04,0.66 ± 0.03,0.14
C20:3,0.38 ± 0.05,0.23 ± 0.01,0.01
C20:4,1.16 ± 0.08,0.46 ± 0.01,< 0.0001
C20:5,0.04 ± 0.02,0.48 ± 0.06,0.001
C22:2,0.59 ± 0.35,0.64 ± 0.04,0.84
C22:5,0.17 ± 0.07,0.36 ± 0.04,0.04
C22:6,0.04 ± 0.01,3.36 ± 0.20,< 0.0001
