Brain Region,Control (n = 7),DHA (n = 7),p-Value
Caudate,0.860 ± 0.001,0.861 ± 0.001,0.46
Cerebellum,11.389 ± 0.002,11.388 ± 0.001,0.71
Left Cortex,31.262 ± 0.002,31.257 ± 0.002,0.09
Right Cortex,32.143 ± 0.002,32.144 ± 0.001,0.54
Lateral Ventricle,1.012 ± 0.002,1.014 ± 0.0001,0.95
Third Ventricle,0.106 ± 0.0003,0.105 ± 0.0005,0.77
Cerebral Aqueduct,0.074 ± 0.0003,0.074 ± 0.0002,0.63
Fourth Ventricle,0.099 ± 0.0005,0.100 ± 0.0002,0.33
Left Hippocampus,0.914 ± 0.0005,0.916 ± 0.0006,0.15
Right Hippocampus,0.925 ± 0.001,0.926 ± 0.001,0.5
Medulla,3.364 ± 0.002,3.3620 ± 0.001,0.54
Midbrain,3.414 ± 0.001,3.412 ± 0.001,0.31
Pons,2.154 ± 0.001,2.155 ± 0.001,0.44
Putamen and Globus Pallidus,0.731 ± 0.001,0.731 ± 0.0004,0.78
Hypothalamus,0.501 ± 0.001,0.502 ± 0.001,0.13
Thalamus,2.771 ± 0.001,2.767 ± 0.001,0.04
Olfactory Bulb,4.632 ± 0.001,4.634 ± 0.002,0.48
Corpus Callosum,0.776 ± 0.002,0.775 ± 0.001,0.86
Internal Capsule,2.875 ± 0.002,2.877 ± 0.001,0.55
Total (voxel),411301 ± 11.94,411342 ± 25.47,0.23
